"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",103,195,170,44
"2021",13,248,162,34
"2022",33,230,601,55
"2023",34,410,1645,86
"2024",66,1111,3693,567
"2025",70,1895,5176,1352
"2026",81,1980,5634,1981
