"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",381,7125,86
"2021",176,11449,120
"2022",570,22102,242
"2023",1184,40528,191
"2024",1702,70009,482
"2025",2888,88310,388
"2026",3596,103388,384
