"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",,,,4.36,,
"2010",,,,4.4,,
"2011",0,,,4.38,,
"2012",0,0,,4.23,,
"2013",0,0,,4.15,0.01,
"2014",0,0,,3.87,0.01,
"2015",0,0,,3.69,0.01,
"2016",0,0,,3.47,0.01,
"2017",0.01,0,,3.67,0.01,
"2018",0.01,0.01,,3.87,0,
"2019",0.04,0.01,,3.46,0,
"2020",0.08,0.03,,3.25,0,
"2021",0.16,0.06,,3.01,0,
"2022",0.3,0.1,,2.79,0,
"2023",0.46,0.12,,2.78,0,
"2024",0.59,0.2,,2.93,0,
"2025",0.67,0.22,,3.04,0,
