"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",344,460,446,116
"2021",35,752,542,94
"2022",91,804,1324,247
"2023",56,1015,3250,432
"2024",77,1299,5704,1467
"2025",77,932,6920,2647
"2026",119,841,6970,3216
