"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",9389,8251,1196
"2021",10359,19026,939
"2022",16633,27283,1663
"2023",17400,43082,1243
"2024",34041,37219,673
"2025",41038,40371,674
"2026",42555,43204,599
