,Rok (X1),PKB per capita (PPS) (X2),Wskaźnik cen energii/paliwa (X3),Dotacje (X4),Ładowarki na mieszkańców (X5),Y_logit
Rok (X1),1.0,0.40527805673825573,0.02744271573904574,0.35623524993953354,0.45765731498125595,0.3295115949943782
PKB per capita (PPS) (X2),0.40527805673825573,1.0,0.6141257030336142,0.24363380146255156,0.7607435838340966,0.9313009791594332
Wskaźnik cen energii/paliwa (X3),0.02744271573904574,0.6141257030336142,1.0,0.15745261772601854,0.3178734646756737,0.5429968838155109
Dotacje (X4),0.35623524993953354,0.24363380146255156,0.15745261772601854,1.0,0.2283888614975138,0.46747893972817245
Ładowarki na mieszkańców (X5),0.45765731498125595,0.7607435838340966,0.3178734646756737,0.2283888614975138,1.0,0.7667406220331502
Y_logit,0.3295115949943782,0.9313009791594332,0.5429968838155109,0.46747893972817245,0.7667406220331502,1.0
