Rok,Kraj,Dotacja
2020,Polska,0
2021,Polska,1
2022,Polska,2
2023,Polska,2
2024,Polska,2
2020,Niemcy,2
2021,Niemcy,2
2022,Niemcy,2
2023,Niemcy,1
2024,Niemcy,0
2020,Czechy,0
2021,Czechy,0
2022,Czechy,0
2023,Czechy,1
2024,Czechy,2
2020,Hiszpania,1
2021,Hiszpania,2
2022,Hiszpania,2
2023,Hiszpania,2
2024,Hiszpania,2
2020,Holandia,2
2021,Holandia,2
2022,Holandia,2
2023,Holandia,2
2024,Holandia,1
2020,Dania,1
2021,Dania,1
2022,Dania,2
2023,Dania,2
2024,Dania,2
