,PKB per capita (PPS) (X2),Wskaźnik cen energii/paliwa (X3),Dotacje (X4),Ładowarki na EV (X5),Procent nowych rejestracji EV (Y)
PKB per capita (PPS) (X2),1.0,0.07525402599664832,0.2685026067901579,0.34128066053717127,0.921689860010909
Wskaźnik cen energii/paliwa (X3),0.07525402599664832,1.0,-0.05487765480491438,-0.6653604477743692,0.005976620094214714
Dotacje (X4),0.2685026067901579,-0.05487765480491438,1.0,0.10561760293797498,0.3503996628782967
Ładowarki na EV (X5),0.34128066053717127,-0.6653604477743692,0.10561760293797498,1.0,0.27757690287644293
Procent nowych rejestracji EV (Y),0.921689860010909,0.005976620094214714,0.3503996628782967,0.27757690287644293,1.0
