Kraj,Rok,Dotacja,EV w flocie,Nowe rejestracje EV,Procent EV w flocie,Procent nowych rejestracji EV,AIC per capita (PPS),Cena energii (EUR/kWh),Cena paliwa (EUR/litr),PKB per capita (PPS),Liczba Ładowarek
Hiszpania,2019,,45919.0,17852.0,0.19,1.37,18900.0,0.23985,1.2972826530612245,28660.1,
Hiszpania,2020,1.0,86684.0,41992.0,0.35,4.93,16700.0,0.22685,1.1779389999999998,25129.0,16690.0
Hiszpania,2021,2.0,147440.0,67299.0,0.6000000000000001,7.83,18900.0,0.25695,1.3802679591836735,28282.8,28083.0
Hiszpania,2022,2.0,216902.0,79337.0,0.86,9.75,21000.0,0.32105,1.7809982352941176,31684.9,60115.0
Hiszpania,2023,2.0,330535.0,117016.0,1.2999999999999998,12.33,22800.0,0.2400499999999999,1.6360392307692306,34514.7,108528.0
Hiszpania,2024,2.0,417290.0,117341.0,1.56,11.54,24300.0,0.2422,1.5777730188679246,36371.9,138911.0
Hiszpania,2025,,579548.0,206727.0,,19.77,,0.2608,1.4954922028846154,,179052.0
Hiszpania,2026,,,,,,,,1.4379674,,
Holandia,2005,,,,,,19700.0,,1.3532244897959185,,
Holandia,2006,,,,,,20800.0,,1.4147346938775511,,
Holandia,2007,,,,,,21900.0,0.175,1.461208163265306,,
Holandia,2008,,,0.0,,,22500.0,0.17835,1.5427346938775508,,
Holandia,2009,,,30.0,,0.01,21800.0,0.1942499999999999,1.35148,,
Holandia,2010,,,86.0,,0.02,21300.0,0.1778,1.4929795918367348,,
Holandia,2011,,,864.0,,0.15,21700.0,0.18015,1.6389526530612244,,
Holandia,2012,,,5154.0,,1.02,21700.0,0.1857,1.760408163265306,,
Holandia,2013,,28673.0,22791.0,0.36,5.47,21800.0,0.1901499999999999,1.7383000000000002,,
Holandia,2014,,43762.0,15066.0,0.55,3.89,21800.0,0.1821,1.7019032653061223,,
Holandia,2015,,88125.0,42947.0,1.08,9.57,22100.0,0.1916,1.56334693877551,36639.1,
Holandia,2016,,109865.0,22800.0,1.34,5.96,21900.0,0.1606,1.477,36930.1,
Holandia,2017,,118889.0,9126.0,1.42,2.2,22900.0,0.1595,1.55211,38491.1,
Holandia,2018,,139249.0,26853.0,1.65,6.06,23800.0,0.18,1.624512,39881.5,
Holandia,2019,,198119.0,66627.0,2.31,14.97,24000.0,0.2065,1.6481224489795918,40543.6,
Holandia,2020,2.0,272200.0,89062.0,3.1499999999999995,24.88,23300.0,0.13965,1.565,39983.4,224164.0
Holandia,2021,2.0,383236.0,95468.0,4.36,29.48,25300.0,0.1365,1.8178571428571428,43738.4,313050.0
Holandia,2022,2.0,517058.0,107537.0,5.84,34.29,28500.0,0.08785,2.073876862745098,48359.0,403405.0
Holandia,2023,2.0,707001.0,160507.0,7.890000000000001,43.13,30000.0,0.3031,1.9220192307692303,49966.9,558810.0
Holandia,2024,1.0,930280.0,184742.0,10.18,48.16,31400.0,0.23345,1.9701509433962263,53220.9,675302.0
Holandia,2025,,1115966.0,192807.0,,56.66,,0.2342,1.9230509615384612,,788099.0
Holandia,2026,,,,,,,,1.97912,,
Niemcy,2005,,,,,,18400.0,,1.2216826530612246,,
Niemcy,2006,,,,,,19000.0,,1.2833436734693875,,
Niemcy,2007,,,,,,19700.0,0.2065,1.33544693877551,,
Niemcy,2008,,,0.0,,,20200.0,0.21715,1.3933520408163265,,
Niemcy,2009,,,15.0,,0.0,20300.0,0.2288,1.26202,,
Niemcy,2010,,,144.0,,0.0,21000.0,0.2406499999999999,1.3910510204081634,,
Niemcy,2011,,4653.0,2094.0,0.01,0.0699999999999999,21900.0,0.25295,1.526938775510204,,
Niemcy,2012,,8446.0,3787.0,0.02,0.12,22300.0,0.26355,1.6512653061224492,,
Niemcy,2013,,15088.0,5879.0,0.04,0.1999999999999999,22500.0,0.292,1.6025200000000002,,
Niemcy,2014,,25904.0,12462.0,0.06,0.41,23000.0,0.2977499999999999,1.5431632653061222,,
Niemcy,2015,,42941.0,23370.0,0.1,0.73,23300.0,0.2948499999999999,1.3970408163265309,35067.2,
Niemcy,2016,,66071.0,24506.0,0.14,0.75,23900.0,0.2973,1.30542,36023.8,
Niemcy,2017,,98280.0,53360.0,0.22,1.55,24600.0,0.3048,1.37388,37469.8,
Niemcy,2018,,150172.0,66251.0,0.32,1.92,25400.0,0.29935,1.4428,38536.3,
Niemcy,2019,,238662.0,105675.0,0.5,2.93,25900.0,0.2983,1.416326530612245,38988.0,
Niemcy,2020,2.0,588734.0,390936.0,1.22,13.4,24800.0,0.30245,1.2885999999999995,37970.8,150624.0
Niemcy,2021,2.0,1184202.0,673756.0,2.44,25.700000000000003,26200.0,0.32135,1.5828979591836734,40533.0,204664.0
Niemcy,2022,2.0,1877556.0,823888.0,3.84,31.07,28700.0,0.3318,1.9233529411764705,43403.4,291730.0
Niemcy,2023,1.0,2330458.0,693907.0,4.75,24.39,30000.0,0.40725,1.850076923076923,45253.1,405023.0
Niemcy,2024,0.0,2619066.0,570316.0,5.3100000000000005,20.24,31000.0,0.3947,1.7916603773584905,46414.1,581995.0
Niemcy,2025,,3104731.0,771437.0,,29.54,,0.3835,1.736826923076923,,749722.0
Niemcy,2026,,,,,,,,1.78,,
Polska,2005,,,,,,8300.0,,0.9965414285714288,,
Polska,2006,,,,,,8900.0,,1.0193448979591837,,
Polska,2007,,,,,,9900.0,0.138,1.1142967346938777,,
Polska,2008,,,0.0,,,10800.0,0.1277,1.2459251020408164,,
Polska,2009,,,0.0,,0.0,11100.0,0.1211,0.955768,,
Polska,2010,,,0.0,,0.0,12200.0,0.13615,1.134560612244898,,
Polska,2011,,,35.0,,0.01,13000.0,0.1411,1.2433642857142857,,
Polska,2012,,66.0,31.0,0.0,0.01,13600.0,0.14735,1.3640155102040816,,
Polska,2013,,103.0,31.0,0.0,0.01,13600.0,0.1458499999999999,1.3067584,,
Polska,2014,,257.0,140.0,0.0,0.04,13800.0,0.14145,1.2644342857142856,,
Polska,2015,,489.0,260.0,0.0,0.07,14400.0,0.1431,1.1100208163265306,19407.6,
Polska,2016,,773.0,268.0,0.0,0.07,14600.0,0.1341999999999999,0.995876,19707.1,
Polska,2017,,1712.0,893.0,0.0,0.18,15400.0,0.14485,1.0789016,20729.9,
Polska,2018,,4610.0,1280.0,0.02,0.24,16100.0,0.1402999999999999,1.1586754,21942.4,
Polska,2019,,7577.0,2630.0,0.03,0.47,16800.0,0.13595,1.1627467346938776,23345.3,
Polska,2020,0.0,15691.0,8035.0,0.06,1.88,17200.0,0.14925,1.0003166,23914.3,3050.0
Polska,2021,1.0,33766.0,16320.0,0.13,3.64,18600.0,0.1561,1.200451020408163,26195.3,10794.0
Polska,2022,2.0,57256.0,22008.0,0.22,5.25,20200.0,0.1533999999999999,1.42065568627451,28149.4,11542.0
Polska,2023,2.0,98348.0,30113.0,0.36,6.34,20800.0,0.19655,1.4347913461538462,29572.1,20247.0
Polska,2024,2.0,141455.0,31466.0,0.62,5.7,22200.0,0.22835,1.479232891792489,31439.0,32839.0
Polska,2025,,202955.0,55654.0,,11.58,,0.2559,1.4021514326262003,,52841.0
Polska,2026,,,,,,,,1.3484547113353371,,
