,coef,std err,t,p,ci_lower,ci_upper
const,3405.5459912790443,2323.3403209706757,1.4657973093912606,0.15905799149294303,-1457.2611870891947,8268.353169647284
Rok (X1),-1.7023401795111972,1.1516149110352876,-1.478219987600555,0.15573576807740247,-4.112697889723286,0.7080175307008914
PKB per capita (PPS) (X2),0.0019576169030621946,0.00023376732314835612,8.37421106037061,8.443373143986375e-08,0.0014683362725780558,0.0024468975335463334
Wskaźnik cen energii/paliwa (X3),-37.60399353765024,17.01470414199841,-2.2100880052818583,0.03956739719038653,-73.21617858549283,-1.99180848980766
Dotacje (X4),2.9278191246455463,1.7373773718223322,1.6851946917983407,0.10830557517492348,-0.7085535061632036,6.564191755454296
Ładowarki na EV (X5),-18.716216517855926,15.09587255775957,-1.239823431619753,0.2301357689349377,-50.3122409035283,12.879807867816446
