,coef,std err,z,p,ci_lower,ci_upper
const,0.159412,0.011735774640005466,13.583423752582023,3.109098540746058e-11,0.13484874138135408,0.18397525861864591
Rok (X1),-0.024074725696379896,0.016286294258176143,-1.4782199876005406,0.15573576807740636,-0.05816233133591374,0.010012879943153946
PKB per capita (PPS) (X2),0.15166645530958545,0.018111133600067796,8.374211060373256,8.443373143945974e-08,0.11375941703204183,0.18957349358712905
Wskaźnik cen energii/paliwa (X3),-0.03475073253896689,0.015723687226896335,-2.2100880052818415,0.03956739719038789,-0.06766078812885287,-0.0018406769490809036
Dotacje (X4),0.023246220102874814,0.01379438246275799,1.6851946917982628,0.10830557517493877,-0.005625754207385154,0.05211819441313478
Ładowarki na EV (X5),-0.017933314842756225,0.01446441032278858,-1.2398234316197743,0.23013576893492987,-0.04820767358118391,0.01234104389567146
