"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",,33,112
"2021",,62,142
"2022",,185,142
"2023",1,293,2
"2024",2,532,142
"2025",2,746,135
"2026",0,777,131
