"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",2863,59921,259
"2021",3813,77334,1753
"2022",4624,104238,2694
"2023",5474,132309,2778
"2024",2688,171582,3436
"2025",1837,192787,1662
"2026",2664,223578,1844
