"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",,,,,,
"2010",,,,,,
"2011",,,,,,
"2012",0,0,,0,0.03,
"2013",0.01,0.01,0,0,0.03,
"2014",0.01,0.02,0,0,0.04,
"2015",0.02,0.03,0,0,0.05,
"2016",0.03,0.07,0,0,0.05,
"2017",0.05,0.17,0,0,0.09,
"2018",0.07,0.38,0,0,0.16,
"2019",0.14,0.7,0,0,0.26,
"2020",0.28,1.26,0,0,0.34,
"2021",0.65,2.11,0,0,0.37,
"2022",1.2,2.78,0,0,0.42,
"2023",2.22,3.58,0,0,0.43,
"2024",3.13,4.41,0,0,0.44,
"2025",4.31,4.9,0,0,0.43,
