"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",51,3289,25
"2021",63,3983,24
"2022",58,4383,70
"2023",82,8400,26
"2024",108,12244,11
"2025",260,14176,16
"2026",231,11233,11
