"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",8,276,2
"2021",10,586,1
"2022",25,706,216
"2023",20,2906,24
"2024",22,6048,97
"2025",22,7085,88
"2026",24,6370,73
