"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",,,,
"2021",894,2085,259,393
"2022",1856,3153,2286,925
"2023",2357,7031,4583,4517
"2024",3601,9819,8544,8012
"2025",4379,12638,18580,4278
"2026",4831,13676,21591,5014
