"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",770,2619,1145,533
"2021",561,2415,3400,557
"2022",736,3582,7568,933
"2023",2004,4829,14462,1613
"2024",1734,7135,23933,2672
"2025",1771,10444,31782,6356
"2026",1744,11492,34139,8932
