model,r2_estymacja,r2_test,mae_test,rmse_test,p_value_relacja,obserwacje_estymacja,obserwacje_test
z_relacja_kosztu,0.962976137325777,0.8052761722152616,5.442439591176655,7.877715767060053,0.35067944560819764,101,53
bez_relacji_kosztu,0.9609343656187583,0.7818374577376508,6.657455706457371,10.254331559817413,,113,58
