model,r2_test,mae_test,rmse_test,obserwacje_test,panstwa_test
bazowy,0.6292424014267881,7.145203380476739,10.991384717709444,54,27
z_ladowarkami,0.8052761722152616,5.442439591176655,7.877715767060053,53,27
