parametr,wartosc
const,-5.937514740198562
pkb,5.150608917193961e-05
relacja_kosztu,0.30781472122069725
log_punkty_ladowania_na_100_tys_mieszkancow,0.41740249126282236
polityka_ue_etap,0.00739353658006096
panstwo_Belgia,0.3199737848521296
panstwo_Bułgaria,0.4374720371116988
panstwo_Chorwacja,-0.11861420440316733
panstwo_Cypr,-0.1481761081701642
panstwo_Czechy,-0.3824945985996314
panstwo_Dania,0.7218524942563943
panstwo_Estonia,0.253170707854131
panstwo_Finlandia,1.3581758147704068
panstwo_Francja,0.5894121246042483
panstwo_Grecja,0.9088249606763535
panstwo_Hiszpania,0.37508703069660787
panstwo_Holandia,0.18776124908566225
panstwo_Irlandia,-1.3306018362081247
panstwo_Litwa,0.19763196091530777
panstwo_Luksemburg,-2.317504213016534
panstwo_Malta,1.9890751299124285
panstwo_Niemcy,0.3314447374976124
panstwo_Polska,0.3012685988017013
panstwo_Portugalia,1.5326767635957539
panstwo_Rumunia,0.9858010115659175
panstwo_Szwecja,1.3790795049138473
panstwo_Słowacja,-0.13481235637481992
panstwo_Słowenia,-0.2223803077763059
panstwo_Węgry,0.667080193958471
panstwo_Włochy,-0.1253014687045781
panstwo_Łotwa,0.5843641026973287
