parametr,wspolczynnik,blad_standardowy,statystyka_t,p_value,przedzial_ufnosci_95_lewy,przedzial_ufnosci_95_prawy
const,-5.937514740198562,0.41358669335989745,-14.356155155678131,9.748751944383772e-47,-6.748129763668972,-5.126899716728152
pkb,5.150608917193961e-05,8.685801200594607e-06,5.929918033170463,3.0308593991091093e-09,3.448223164189942e-05,6.852994670197981e-05
relacja_kosztu,0.30781472122069725,0.5388006479799612,0.5712961229254968,0.5677989293976267,-0.7482151436668705,1.3638445861082649
log_punkty_ladowania_na_100_tys_mieszkancow,0.41740249126282236,0.05169332553345078,8.074591583254223,6.770286977277116e-16,0.31608543497615404,0.5187195475494907
polityka_ue_etap,0.00739353658006096,0.07157602612920237,0.1032962708311696,0.9177278352340315,-0.13289289678967356,0.14767996994979546
panstwo_Belgia,0.3199737848521296,0.06008194032975273,5.325623358633072,1.0060740936802714e-07,0.20221534568452965,0.4377322240197295
panstwo_Bułgaria,0.4374720371116988,0.20787960925770016,2.1044490062004204,0.03533929839675539,0.030035489846347296,0.8449085843770503
panstwo_Chorwacja,-0.11861420440316733,0.17903577531414297,-0.6625167746225152,0.5076400879305446,-0.46951787596309286,0.2322894671567582
panstwo_Cypr,-0.1481761081701642,0.08585612127886594,-1.7258653892467273,0.08437163262822683,-0.3164510137290444,0.020098797388716005
panstwo_Czechy,-0.3824945985996314,0.07975762621254619,-4.795711918259968,1.6209809849920211e-06,-0.5388166734686297,-0.22617252373063312
panstwo_Dania,0.7218524942563943,0.04637261085466926,15.566354383596474,1.2323368829605857e-54,0.6309638471121514,0.8127411414006372
panstwo_Estonia,0.253170707854131,0.13901950058415324,1.8211165109234306,0.06858914797074944,-0.01930250643955439,0.5256439221478164
panstwo_Finlandia,1.3581758147704068,0.09270816945277213,14.650012213457583,1.3469149358478085e-48,1.176471141570337,1.5398804879704766
panstwo_Francja,0.5894121246042483,0.08368471658971482,7.043246946679501,1.878109354983845e-12,0.4253930940319657,0.7534311551765309
panstwo_Grecja,0.9088249606763535,0.17687966481911163,5.138097483426236,2.775339088743368e-07,0.5621471880333783,1.2555027333193287
panstwo_Hiszpania,0.37508703069660787,0.08405451130405497,4.462425929047224,8.103694482703084e-06,0.21034321580254528,0.5398308455906704
panstwo_Holandia,0.18776124908566225,0.10355782326545207,1.813105404932756,0.06981556571107136,-0.015208354831987903,0.3907308530033124
panstwo_Irlandia,-1.3306018362081247,0.3787030604919589,-3.513575608498093,0.0004421185677739404,-2.0728461956074575,-0.5883574768087918
panstwo_Litwa,0.19763196091530777,0.12045472953309465,1.6407156587488652,0.10085645291451911,-0.03845497073707094,0.4337188925676865
panstwo_Luksemburg,-2.317504213016534,0.3907377892870645,-5.93109823660779,3.0091509851248044e-09,-3.083336207417981,-1.5516722186150873
panstwo_Malta,1.9890751299124285,0.19284613931656033,10.314311382958653,6.071498215893905e-25,1.6111036422943765,2.3670466175304803
panstwo_Niemcy,0.3314447374976124,0.0584459560650595,5.670961000769027,1.419987231372792e-08,0.21689276856808543,0.44599670642713934
panstwo_Polska,0.3012685988017013,0.1374164677672272,2.192376239156626,0.028352350869776523,0.03193727109522676,0.5705999265081758
panstwo_Portugalia,1.5326767635957539,0.13272681869685496,11.547604159008383,7.590701972381437e-31,1.2725369791673407,1.7928165480241671
panstwo_Rumunia,0.9858010115659175,0.14221374739465079,6.931826420622099,4.154415307475578e-12,0.707067188565925,1.26453483456591
panstwo_Szwecja,1.3790795049138473,0.052010933767247504,26.515184501115144,6.477007429549218e-155,1.277139947927744,1.4810190618999506
panstwo_Słowacja,-0.13481235637481992,0.15688384646467787,-0.8593131760392724,0.3901677567424586,-0.44229904520170005,0.1726743324520602
panstwo_Słowenia,-0.2223803077763059,0.10768783254379007,-2.0650458136565932,0.038918665686788416,-0.4334445811353148,-0.011316034417297033
panstwo_Węgry,0.667080193958471,0.19875317523390879,3.3563247136726098,0.0007898577218830421,0.2775311286870315,1.0566292592299105
panstwo_Włochy,-0.1253014687045781,0.0651630800524917,-1.9228905172014934,0.054493800931076315,-0.25301875872916224,0.002415821320006062
panstwo_Łotwa,0.5843641026973287,0.14684708823353773,3.9794054463510196,6.908783051043703e-05,0.29654909852501926,0.8721791068696383
