panstwo,rok,pkb_per_capita_pps,relacja_kosztu_ev_do_benzyny,punkty_ladowania_na_100_tys_mieszkancow,pkb,relacja_kosztu,log_punkty_ladowania_na_100_tys_mieszkancow,polityka_ue_etap,prognozowany_udzial_ev_procent
Polska,2026,32064.53594771307,0.3908240963460638,59.25446902501136,32064.53594771307,0.3908240963460638,4.098576744308944,2,10.537467507142887
Polska,2027,33139.53914688714,0.3974287955125533,84.10961270539983,33139.53914688714,0.3974287955125533,4.443939986960361,2,12.594203271073626
Polska,2028,34214.54234606167,0.4040334946790427,112.84283634040928,34214.54234606167,0.4040334946790427,4.734818868618877,2,14.69771565453154
Polska,2029,35289.54554523574,0.4106381938455321,142.36576851405758,35289.54554523574,0.4106381938455321,4.965399186377876,2,16.73031635433329
Polska,2030,36364.54874441028,0.4172428930120215,169.2449769570633,36364.54874441028,0.4172428930120215,5.137238440671102,2,18.607267616843547
Polska,2031,37439.55194358481,0.4238475921785092,191.1532290226584,37439.55194358481,0.4238475921785092,5.258293121567331,2,20.29750383513396
Polska,2032,38514.55514275888,0.4304522913449986,207.45484732132064,38514.55514275888,0.4304522913449986,5.339722458176465,2,21.816160837734326
Polska,2033,39589.55834193341,0.437056990511488,218.78076525480748,39589.55834193341,0.437056990511488,5.392630527925572,2,23.202255927063277
Polska,2034,40664.56154110748,0.4436616896779775,226.279897083355,40664.56154110748,0.4436616896779775,5.426182284727082,2,24.49890138273667
Polska,2035,41739.56474028202,0.4502663888444669,231.088233843058,41739.56474028202,0.4502663888444669,5.447117617652684,3,25.88441658382229
Polska,2036,42814.56793945655,0.4568710880109545,234.10804957210428,42814.56793945655,0.4568710880109545,5.460045193888444,3,27.1072796072575
Polska,2037,43889.57113863062,0.463475787177444,235.9799941544577,43889.57113863062,0.463475787177444,5.467975724721777,3,28.323440793418403
Polska,2038,44964.57433780516,0.4700804863439334,237.13100702144052,44964.57433780516,0.4700804863439334,5.472820971899544,3,29.54521500560294
Polska,2039,46039.577536979225,0.4766851855104228,237.83520752239343,46039.577536979225,0.4766851855104228,5.47577380583685,3,30.78021539968828
Polska,2040,47114.58073615376,0.4832898846769122,238.2647270663956,47114.58073615376,0.4832898846769122,5.477570583575074,3,32.03285381621448
