"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",22,1274,24
"2021",20,2047,30
"2022",18,2155,33
"2023",29,6932,6
"2024",137,5835,302
"2025",922,19124,47
"2026",1168,27876,47
