"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",170,399,781,64
"2021",91,503,1008,86
"2022",190,628,1853,83
"2023",203,729,2761,196
"2024",280,802,3611,601
"2025",293,982,4306,966
"2026",354,1293,4539,1387
