"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,2000,,
2009,,,,3000,,
2010,,,,4000,,
2011,,,,5500,,
2012,12,,,6000,48,
2013,29,10,,7000,29,
2014,133,20,,7367,106,
2015,288,55,,8635,149,
2016,457,140,,9468,163,
2017,779,329,,9999,225,
2018,1308,580,,10246,244,
2019,1998,659,,9895,281,
2020,3670,792,,9397,321,
2021,5413,1088,,9279,345,
2022,7977,1546,,9373,393,
2023,12743,2523,,9046,447,
2024,16969,3223,,8524,473,
2025,22563,5213,,9025,220,
2026,28660,6547,0,9305,220,0
