"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",341,34884,907
"2021",1252,48335,1454
"2022",1409,68070,1518
"2023",1535,94856,1313
"2024",1955,121408,1121
"2025",3889,145609,979
"2026",3097,154124,985
