"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",49,178,78,
"2021",19,456,101,16
"2022",88,879,292,51
"2023",76,1367,229,51
"2024",183,2429,648,50
"2025",124,3510,1151,208
"2026",124,3854,1388,422
