"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",2700,7440,59
"2021",3174,9517,390
"2022",3069,11816,197
"2023",3719,13014,43
"2024",4020,16293,40
"2025",2043,13651,31
"2026",1919,12997,27
