"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",113,10087,319
"2021",229,18280,1356
"2022",540,21907,5114
"2023",457,28758,5980
"2024",911,46173,719
"2025",915,53910,659
"2026",648,56620,744
