"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",217,1768,1546,93
"2021",31,2046,2092,187
"2022",84,2118,3188,233
"2023",27,1623,5675,522
"2024",60,1580,7124,1107
"2025",156,1643,7542,1883
"2026",146,1289,7968,2532
