"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",,24,46
"2021",,25,46
"2022",,326,45
"2023",14,908,117
"2024",13,1567,127
"2025",435,2195,114
"2026",453,2800,116
