"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",57,94,32,4
"2021",16,160,33,2
"2022",57,361,99,11
"2023",72,426,174,18
"2024",84,546,363,62
"2025",88,733,573,153
"2026",86,750,710,303
