"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",704,3480,417
"2021",954,5103,910
"2022",3064,13195,2088
"2023",3784,18537,2609
"2024",1917,32236,1829
"2025",2295,31000,1663
"2026",1660,32580,1607
