panstwo,rok,relacja_kosztu_ev_do_benzyny
Polska,2026,0.39082409634606385
Polska,2027,0.3974287955125533
Polska,2028,0.4040334946790427
Polska,2029,0.41063819384553213
Polska,2030,0.41724289301202155
Polska,2031,0.4238475921785092
Polska,2032,0.4304522913449986
Polska,2033,0.43705699051148805
Polska,2034,0.4436616896779775
Polska,2035,0.4502663888444669
Polska,2036,0.45687108801095455
Polska,2037,0.463475787177444
Polska,2038,0.4700804863439334
Polska,2039,0.4766851855104228
Polska,2040,0.48328988467691225
