panstwo,rok,pkb_per_capita_pps
Polska,2026,32064.53594771307
Polska,2027,33139.53914688714
Polska,2028,34214.54234606167
Polska,2029,35289.54554523574
Polska,2030,36364.54874441028
Polska,2031,37439.55194358481
Polska,2032,38514.55514275888
Polska,2033,39589.558341933414
Polska,2034,40664.56154110748
Polska,2035,41739.56474028202
Polska,2036,42814.56793945655
Polska,2037,43889.57113863062
Polska,2038,44964.574337805156
Polska,2039,46039.577536979225
Polska,2040,47114.58073615376
