panstwo,rok,pkb_per_capita_pps,relacja_kosztu_ev_do_benzyny,punkty_ladowania_na_100_tys_mieszkancow
Polska,2026,32064.53594771307,0.3908240963460638,59.25446902501136
Polska,2027,33139.53914688714,0.3974287955125533,84.10961270539983
Polska,2028,34214.54234606167,0.4040334946790427,112.84283634040928
Polska,2029,35289.54554523574,0.4106381938455321,142.36576851405758
Polska,2030,36364.54874441028,0.4172428930120215,169.2449769570633
Polska,2031,37439.55194358481,0.4238475921785092,191.15322902265842
Polska,2032,38514.55514275888,0.4304522913449986,207.45484732132064
Polska,2033,39589.55834193341,0.437056990511488,218.78076525480748
Polska,2034,40664.56154110748,0.4436616896779775,226.279897083355
Polska,2035,41739.56474028202,0.4502663888444669,231.08823384305796
Polska,2036,42814.56793945655,0.4568710880109545,234.10804957210428
Polska,2037,43889.57113863062,0.463475787177444,235.9799941544577
Polska,2038,44964.57433780516,0.4700804863439334,237.13100702144055
Polska,2039,46039.577536979225,0.4766851855104228,237.83520752239343
Polska,2040,47114.58073615376,0.4832898846769122,238.2647270663956
