DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Andorra,2016,71732,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Andorra,2018,74794,e,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Andorra,2019,76177,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Andorra,2020,77543,e,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Andorra,2022,79535,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Andorra,2023,81588,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Andorra,2024,85101,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Andorra,2026,89058,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Albania,2015,2885796,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Albania,2016,2875592,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Albania,2017,2876591,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Albania,2018,2870324,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Albania,2019,2862427,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Albania,2020,2845955,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Albania,2021,2829741,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Albania,2022,2793592,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Albania,2023,2761785,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Albania,2024,2390942,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Albania,2025,2363314,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Albania,2026,2335930,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Armenia,2015,3010598,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Armenia,2016,2998577,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Armenia,2017,2986151,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Armenia,2018,2972732,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Armenia,2019,2965269,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Armenia,2020,2959694,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Armenia,2021,2963251,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Armenia,2023,2977130,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Armenia,2024,2991201,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Armenia,2025,3076252,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Armenia,2026,3096896,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Austria,2015,8584926,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Austria,2016,8700471,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Austria,2017,8772865,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Austria,2018,8822267,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Austria,2019,8858775,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Austria,2020,8901064,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Austria,2021,8932664,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Austria,2022,8978929,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Austria,2023,9104772,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Austria,2024,9158750,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Austria,2025,9197213,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Austria,2026,9215956,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Azerbaijan,2015,9593038,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Azerbaijan,2016,9705643,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Azerbaijan,2017,9809981,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Azerbaijan,2018,9898085,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Azerbaijan,2019,9981457,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Azerbaijan,2020,10067108,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Azerbaijan,2021,10119133,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Azerbaijan,2022,10156366,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Azerbaijan,2023,10127145,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Azerbaijan,2024,10180770,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Azerbaijan,2025,10224889,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Azerbaijan,2026,10262351,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bosnia and Herzegovina,2015,3825334,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bosnia and Herzegovina,2016,3515982,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bosnia and Herzegovina,2017,3509728,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bosnia and Herzegovina,2018,3500295,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bosnia and Herzegovina,2019,3492018,p,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bosnia and Herzegovina,2022,3464384,p,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bosnia and Herzegovina,2023,3441194,p,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bosnia and Herzegovina,2024,3417089,p,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bosnia and Herzegovina,2025,3407179,p,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bosnia and Herzegovina,2026,3396134,p,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belgium,2015,11237274,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belgium,2016,11311117,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belgium,2017,11351727,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belgium,2018,11398589,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belgium,2019,11455519,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belgium,2020,11522440,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belgium,2021,11554767,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belgium,2022,11617623,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belgium,2023,11742796,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belgium,2024,11817096,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belgium,2025,11883495,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belgium,2026,11955308,p,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bulgaria,2015,7029690,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bulgaria,2016,6938759,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bulgaria,2017,6849518,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bulgaria,2018,6757418,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bulgaria,2019,6664177,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bulgaria,2020,6569275,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bulgaria,2021,6532117,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bulgaria,2022,6482484,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bulgaria,2023,6447710,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bulgaria,2024,6445481,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bulgaria,2025,6437360,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Bulgaria,2026,6423207,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belarus,2015,9480868,e,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belarus,2016,9498364,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belarus,2017,9504704,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belarus,2018,9491823,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belarus,2019,9475174,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Belarus,2020,9408350,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Switzerland,2015,8237666,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Switzerland,2016,8327126,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Switzerland,2017,8419550,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Switzerland,2018,8484130,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Switzerland,2019,8544527,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Switzerland,2020,8606033,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Switzerland,2021,8670300,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Switzerland,2022,8738791,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Switzerland,2023,8815385,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Switzerland,2024,8962258,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Switzerland,2025,9051029,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Switzerland,2026,9124288,p,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Cyprus,2015,860846,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Cyprus,2016,863764,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Cyprus,2017,869878,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Cyprus,2018,878601,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Cyprus,2019,890194,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Cyprus,2020,902429,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Cyprus,2021,914476,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Cyprus,2022,929764,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Cyprus,2023,949084,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Cyprus,2024,966365,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Cyprus,2025,982966,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Cyprus,2026,996571,p,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Czechia,2015,10538275,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Czechia,2016,10553843,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Czechia,2017,10578820,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Czechia,2018,10610055,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Czechia,2019,10649800,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Czechia,2020,10693939,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Czechia,2021,10494836,b,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Czechia,2022,10516707,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Czechia,2023,10827529,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Czechia,2024,10900555,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Czechia,2025,10909500,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Czechia,2026,10915839,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Germany,2015,81197537,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Germany,2016,82175684,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Germany,2017,82521653,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Germany,2018,82792351,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Germany,2019,83019213,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Germany,2020,83166711,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Germany,2021,83155031,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Germany,2022,83237124,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Germany,2023,83118501,b,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Germany,2024,83456045,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Germany,2025,83577140,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Germany,2026,83467117,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Denmark,2015,5659715,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Denmark,2016,5707251,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Denmark,2017,5748769,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Denmark,2018,5781190,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Denmark,2019,5806081,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Denmark,2020,5822763,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Denmark,2021,5840045,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Denmark,2022,5873420,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Denmark,2023,5932654,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Denmark,2024,5961249,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Denmark,2025,5992734,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Denmark,2026,6025603,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Euro area - 19 countries  (2015-2022),2015,338076796,be,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Euro area - 19 countries  (2015-2022),2016,339313837,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Euro area - 19 countries  (2015-2022),2017,340062806,b,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Euro area - 19 countries  (2015-2022),2018,340794307,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Euro area - 19 countries  (2015-2022),2019,341743463,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Euro area - 19 countries  (2015-2022),2020,342706595,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Euro area - 19 countries  (2015-2022),2021,342825212,,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Euro area - 19 countries  (2015-2022),2022,343269067,b,
ESTAT:TPS00001(1.0),21/07/26 23:00:00,Annual,Population on 1 January - total,Euro area - 19 countries  (2015-2022),2023,344716074,bp,
