"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",,,,,,
"2010",,,,,,
"2011",0,,,,,
"2012",0,0,,0,0,
"2013",0.01,0,,0,0,
"2014",0.01,0,,0.01,0,
"2015",0.02,0.01,,0.02,0,
"2016",0.03,0.01,,0.06,0,
"2017",0.04,0.03,,0.08,0.01,
"2018",0.07,0.05,0,0.16,0.03,
"2019",0.11,0.08,0,0.23,0.05,
"2020",0.17,0.18,0,0.24,0.06,
"2021",0.27,0.33,0,0.24,0.07,
"2022",0.38,0.48,0,0.31,0.07,
"2023",0.59,0.71,0,0.46,0.07,
"2024",0.68,0.88,0,0.62,0.06,
