"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",297,257,331,48
"2021",190,354,486,65
"2022",243,442,707,133
"2023",282,646,1137,86
"2024",359,1326,1359,325
"2025",381,1915,1647,412
"2026",273,1761,2087,610
