"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",11,50,8,
"2021",20,43,15,
"2022",17,49,51,
"2023",1,66,127,36
"2024",12,124,303,110
"2025",22,132,493,165
"2026",29,136,559,174
