"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",,,,0.39,,
"2010",0,,,0.86,,
"2011",0,,,2.88,,
"2012",0,,,3.58,0,
"2013",0,,,4,0.01,
"2014",0,0,,4.3,0.01,
"2015",0,0,,5.16,0.01,
"2016",0,0,,5.33,0.01,
"2017",0,0,,5.25,0.01,
"2018",0,0.01,,5.21,0.02,
"2019",0.01,0.01,,4.84,0.05,
"2020",0.02,0.04,,4.53,0.07,
"2021",0.06,0.12,,4.23,0.08,
"2022",0.11,0.22,,4,0.09,
"2023",0.21,0.36,,3.8,0.1,
"2024",0.3,0.45,,3.65,0.1,
"2025",0.5,0.62,,3.59,0.09,
