"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",268,612,226,34
"2021",391,839,342,52
"2022",299,2646,638,160
"2023",426,3419,1278,319
"2024",543,5790,2465,433
"2025",633,7089,3369,853
"2026",598,7595,3898,964
