panstwo,rok,liczba_bev_we_flocie,liczba_phev_we_flocie,procent_bev_we_flocie,procent_phev_we_flocie,liczba_bev_w_nowych_rejestracjach,liczba_phev_w_nowych_rejestracjach,procent_bev_w_nowych_rejestracjach,procent_phev_w_nowych_rejestracjach,liczba_ev_we_flocie,procent_ev_we_flocie,liczba_ev_w_nowych_rejestracjach,procent_ev_w_nowych_rejestracjach,pkb_per_capita_pps,cena_energii_eur_kwh,cena_benzyny_eur_litr,cena_diesla_eur_litr,koszt_100_km_ev,koszt_100_km_benzyna,koszt_100_km_diesel,relacja_kosztu_ev_do_benzyny,relacja_kosztu_ev_do_diesla,polityka_ue_etap,po_2035
Czechy,2016,974.0,260.0,0.02,0.0,210.0,129.0,0.08,0.05,1234.0,0.02,339.0,0.13,25443.3,0.14205,1.058425,1.0130210000000002,2.5569,7.408975,6.078126000000001,0.3451084664207937,0.4206724243623774,0,0
Czechy,2017,1525.0,432.0,0.03,0.01,376.0,241.0,0.14,0.09,1957.0,0.04,617.0,0.23,27214.7,0.1462999999999999,1.1509200000000002,1.119802,2.6334,8.056440000000002,6.718812,0.3268689396309039,0.3919442901512946,0,0
Czechy,2018,3405.0,699.0,0.06,0.01,731.0,243.0,0.28,0.09,4104.0,0.0699999999999999,974.0,0.37,28492.8,0.1579499999999999,1.2527136,1.2325542,2.8431,8.7689952,7.3953252,0.3242218675179568,0.3844455683977223,0,0
Czechy,2019,4950.0,1218.0,0.08,0.02,778.0,482.0,0.31,0.19,6168.0,0.1,1260.0,0.5,30008.3,0.1759,1.2418142857142858,1.23371,3.1662,8.6927,7.40226,0.3642366583455083,0.4277342325181769,0,0
Czechy,2020,8109.0,2816.0,0.13,0.05,3264.0,1975.0,1.61,0.97,10925.0,0.18,5239.0,2.58,29178.2,0.1818,1.0678868,1.059508,3.2724,7.475207599999999,6.357048000000001,0.437767106294145,0.5147672315829611,1,0
Czechy,2021,9051.0,5796.0,0.15,0.1,2644.0,3779.0,1.28,1.83,14847.0,0.25,6423.0,3.1100000000000003,30502.4,0.18425,1.2819434693877552,1.221791224489796,3.3165,8.973604285714286,7.330747346938775,0.3695839368891907,0.4524095352140225,1,0
Czechy,2022,14195.0,9530.0,0.23,0.15,3930.0,3560.0,2.05,1.85,23725.0,0.38,7490.0,3.9,32419.7,0.2082999999999999,1.6959911764705882,1.7638409803921569,3.7494,11.871938235294117,10.58304588235294,0.3158203762257959,0.354283638347639,1,0
Czechy,2023,22441.0,15683.0,0.36,0.25,7504.0,5558.0,3.39,2.51,38124.0,0.61,13062.0,5.9,34973.9,0.31705,1.5741259615384615,1.500223653846154,5.7069,11.01888173076923,9.001341923076923,0.5179200702430627,0.6340054681590425,1,0
Czechy,2024,31713.0,23039.0,0.47,0.34,10876.0,5808.0,4.7,2.51,54752.0,0.81,16684.0,7.21,36255.5,0.33415,1.4879896026782085,1.4512523000535489,6.0147,10.41592721874746,8.707513800321294,0.577452191598866,0.690748259253757,1,0
Czechy,2025,45549.0,35513.0,0.66,0.52,13803.0,11032.0,5.55,4.44,81062.0,1.1800000000000002,24835.0,9.99,38557.0,0.3198,1.4065505531798166,1.3736179792881618,5.756399999999999,9.845853872258717,8.24170787572897,0.5846521870712504,0.6984474682671099,2,0
Dania,2008,,,,,0.0,0.0,,,,,0.0,,32185.8,0.271,1.387209387755102,1.2857344897959182,4.878,9.710465714285714,7.714406938775509,0.5023445984494491,0.6323233968228119,0,0
Dania,2009,31.0,,,,31.0,0.0,0.02,0.0,,,31.0,0.02,30595.6,0.2627,1.2810302000000002,1.045871,4.7286,8.967211400000002,6.275226,0.527321124602906,0.7535346137334337,0,0
Dania,2010,51.0,,,,20.0,0.0,0.01,0.0,,,20.0,0.01,32584.5,0.2689,1.4409142857142858,1.2119095918367349,4.8402,10.0864,7.27145755102041,0.4798738895939086,0.6656437125622456,0,0
Dania,2011,466.0,,,,415.0,0.0,0.24,0.0,,,415.0,0.24,33121.4,0.2942,1.6102555102040816,1.4134818367346935,5.2956,11.271788571428573,8.480891020408162,0.4698100897157657,0.6244155227625054,0,0
Dania,2012,937.0,33.0,0.04,0.0,471.0,33.0,0.28,0.02,970.0,0.04,504.0,0.3,33054.7,0.29845,1.7002977551020408,1.4914883673469388,5.3721,11.902084285714286,8.948930204081632,0.4513579194232366,0.6003063916567111,0,0
Dania,2013,1434.0,44.0,0.06,0.0,497.0,7.0,0.28,0.0,1478.0,0.06,504.0,0.28,33840.5,0.2968,1.6770614,1.4819854,5.3424000000000005,11.739429800000002,8.8919124,0.4550817280750722,0.6008156355656405,0,0
Dania,2014,2916.0,89.0,0.13,0.0,1569.0,21.0,0.83,0.01,3005.0,0.13,1590.0,0.84,34318.7,0.30385,1.646388571428571,1.4549069387755105,5.4693000000000005,11.52472,8.729441632653062,0.474571182640446,0.626534918286379,0,0
Dania,2015,7887.0,552.0,0.33,0.02,4133.0,123.0,2.0,0.06,8439.0,0.35,4256.0,2.06,35165.0,0.3055,1.5021897959183674,1.275766530612245,5.499,10.515328571428572,7.65459918367347,0.5229508486250684,0.7183916320176296,0,0
Dania,2016,8662.0,1095.0,0.35,0.04,1219.0,157.0,0.55,0.07,9757.0,0.3899999999999999,1376.0,0.6200000000000001,35992.7,0.3086,1.4134422,1.1671004,5.5548,9.8940954,7.002602400000001,0.5614257570227189,0.7932479502191927,0,0
Dania,2017,8764.0,1759.0,0.35,0.07,710.0,240.0,0.32,0.11,10523.0,0.42,950.0,0.43,37964.1,0.30295,1.4959422,1.2478294,5.4531,10.4715954,7.4869764,0.5207515943559088,0.728344756102076,0,0
Dania,2018,10037.0,5135.0,0.39,0.2,1502.0,3180.0,0.69,1.46,15172.0,0.5900000000000001,4682.0,2.15,38810.6,0.31245,1.5923,1.3737463999999997,5.6241,11.1461,8.242478399999998,0.5045800773364675,0.6823311784474925,0,0
Dania,2019,15504.0,9685.0,0.58,0.37,5487.0,3822.0,2.43,1.69,25189.0,0.95,9309.0,4.12,39393.0,0.2954,1.6078091836734694,1.3948214285714289,5.3172,11.254664285714286,8.368928571428572,0.4724441231667124,0.6353501472282678,0,0
Dania,2020,31886.0,29025.0,1.17,1.07,14185.0,18337.0,7.16,9.25,60911.0,2.24,32522.0,16.41,40054.4,0.2825999999999999,1.4491034,1.2153067999999998,5.086799999999999,10.1437238,7.291840799999999,0.5014726445923142,0.6976016261901933,1,0
Dania,2021,66610.0,77943.0,2.39,2.8,24832.0,40455.0,13.4,21.82,144553.0,5.19,65287.0,35.22,44240.3,0.3174,1.6712206122448978,1.421284693877551,5.7132000000000005,11.698544285714284,8.527708163265306,0.4883684551228047,0.6699572605698065,1,0
Dania,2022,112674.0,105030.0,4.03,3.76,30718.0,26425.0,20.71,17.81,217704.0,7.79,57143.0,38.52,48465.5,0.5215,2.088567843137255,1.9640845098039212,9.387,14.619974901960784,11.784507058823529,0.6420667657056678,0.7965543194249758,1,0
Dania,2023,200110.0,123066.0,7.0,4.3,62618.0,16665.0,36.24,9.64,323176.0,11.3,79283.0,45.88,48240.3,0.3682499999999999,1.974735192307692,1.7386709615384617,6.628499999999999,13.823146346153845,10.43202576923077,0.4795217987288628,0.6353991206147842,1,0
Dania,2024,344439.0,127567.0,12.02,4.45,89568.0,7092.0,51.72,4.09,472006.0,16.47,96660.0,55.81,51785.4,0.37355,1.997481172666553,1.7041064172377702,6.7239,13.982368208665871,10.224638503426622,0.4808842035666547,0.6576173815579489,1,0
Dania,2025,540981.0,127850.0,18.56,4.39,126532.0,4690.0,68.53,2.54,668831.0,22.95,131222.0,71.07000000000001,53940.8,0.33985,1.9640022827933408,1.7589007919139308,6.1173,13.748015979553388,10.553404751483583,0.4449587496187012,0.5796517942837394,2,0
Estonia,2008,,,,,0.0,0.0,,,,,0.0,,17679.1,0.0832,1.0495228571428572,1.1529983673469386,1.4975999999999998,7.34666,6.917990204081631,0.2038477348890516,0.2164790576194242,0,0
Estonia,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,15453.9,0.0921,0.924646,0.9084428,1.6578,6.4725220000000006,5.4506568,0.2561289092567008,0.3041468323597259,0,0
Estonia,2010,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,16341.2,0.0987,1.1097244897959184,1.1043514285714289,1.7766000000000002,7.768071428571429,6.626108571428572,0.2287054150230338,0.2681211726080983,0,0
Estonia,2011,56.0,,0.01,,56.0,0.0,0.33,0.0,,,56.0,0.33,18339.7,0.10075,1.2383061224489795,1.265265306122449,1.8135,8.668142857142858,7.591591836734694,0.2092143645862517,0.2388827058937385,0,0
Estonia,2012,600.0,5.0,0.1,0.0,506.0,5.0,2.61,0.03,605.0,0.1,511.0,2.64,19342.5,0.11095,1.3611836734693876,1.371530612244898,1.9971,9.528285714285714,8.229183673469388,0.2095969894149749,0.242685068075292,0,0
Estonia,2013,708.0,10.0,0.11,0.0,116.0,5.0,0.59,0.03,718.0,0.11,121.0,0.62,20055.2,0.1359,1.311061224489796,1.320142857142857,2.4462,9.177428571428573,7.920857142857143,0.2665452507705239,0.3088302131803917,0,0
Estonia,2014,1067.0,36.0,0.16,0.01,316.0,18.0,1.5,0.09,1103.0,0.17,334.0,1.59,21055.0,0.1316,1.2751428571428571,1.2709591836734695,2.3688,8.926,7.625755102040816,0.265382030024647,0.3106315333108531,0,0
Estonia,2015,1099.0,48.0,0.16,0.01,37.0,14.0,0.18,0.07,1147.0,0.17,51.0,0.25,21398.6,0.12965,1.1081632653061224,1.0818775510204082,2.3337,7.757142857142857,6.491265306122449,0.3008453038674033,0.3595138836489851,0,0
Estonia,2016,1130.0,55.0,0.16,0.01,49.0,7.0,0.21,0.03,1185.0,0.17,56.0,0.24,22190.6,0.1222999999999999,1.05862,1.03116,2.2014,7.41034,6.186960000000001,0.2970713894369219,0.3558128709414639,0,0
Estonia,2017,1154.0,80.0,0.16,0.01,26.0,25.0,0.1,0.1,1234.0,0.17,51.0,0.2,23734.0,0.1263,1.18536,1.17478,2.2734,8.29752,7.048679999999999,0.273985479998843,0.3225284734162992,0,0
Estonia,2018,1258.0,119.0,0.17,0.02,100.0,39.0,0.38,0.15,1377.0,0.19,139.0,0.53,25227.3,0.1383,1.33234,1.30702,2.4894000000000003,9.32638,7.84212,0.266920284183145,0.3174396719254487,0,0
Estonia,2019,1466.0,147.0,0.18,0.02,80.0,23.0,0.29,0.08,1613.0,0.1999999999999999,103.0,0.37,26438.1,0.1384,1.339204081632653,1.3267755102040817,2.4912,9.37442857142857,7.96065306122449,0.2657441977415766,0.3129391496954408,0,0
Estonia,2020,1769.0,256.0,0.22,0.03,360.0,68.0,1.92,0.36,2025.0,0.25,428.0,2.28,25994.6,0.12635,1.25316,1.0956,2.2743,8.772120000000001,6.573599999999999,0.2592645791439241,0.3459748083242059,1,0
Estonia,2021,2260.0,420.0,0.27,0.05,503.0,164.0,2.25,0.73,2680.0,0.32,667.0,2.98,28242.8,0.16315,1.426489795918367,1.2383061224489795,2.9367,9.98542857142857,7.429836734693877,0.2940985435920913,0.3952576758903703,1,0
Estonia,2022,2989.0,644.0,0.35,0.08,712.0,424.0,3.3,1.97,3633.0,0.43,1136.0,5.27,30146.6,0.2353,1.851137254901961,1.7903921568627452,4.2354,12.957960784313729,10.74235294117647,0.3268569854854915,0.3942711641660278,1,0
Estonia,2023,4423.0,1173.0,0.5,0.13,1458.0,537.0,6.39,2.35,5596.0,0.63,1995.0,8.74,30454.9,0.2249499999999999,1.7165961538461538,1.6080192307692307,4.049099999999999,12.016173076923076,9.648115384615384,0.3369708453830654,0.4196778167119126,1,0
Estonia,2024,5743.0,2099.0,0.86,0.31,1320.0,1268.0,5.2,4.99,7842.0,1.17,2588.0,10.19,31583.4,0.2257,1.6737735849056603,1.5389245283018869,4.0626,11.716415094339622,9.23354716981132,0.3467442871636311,0.4399825901450412,1,0
Estonia,2025,10084.0,8021.0,1.49,1.19,868.0,1403.0,6.65,10.75,18105.0,2.68,2271.0,17.4,33279.1,0.23005,1.5590192307692308,1.4396346153846156,4.1409,10.913134615384616,8.637807692307693,0.3794418511215314,0.4793924740519095,2,0
Finlandia,2008,7.0,,,,0.0,0.0,,,,,0.0,,31104.6,0.1248,1.4456232653061225,1.2612883673469386,2.2464,10.119362857142857,7.567730204081632,0.2219902608210511,0.2968393348362777,0,0
Finlandia,2009,13.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,28678.4,0.1292499999999999,1.2772444,0.9919876,2.3265,8.9407108,5.9519256,0.2602142102616717,0.390881902152809,0,0
Finlandia,2010,23.0,,,,13.0,0.0,0.01,0.0,,,13.0,0.01,29484.8,0.13475,1.4260102040816327,1.1342520408163266,2.4255,9.982071428571428,6.80551224489796,0.2429856385376639,0.3564022681493782,0,0
Finlandia,2011,56.0,,,,29.0,0.0,0.02,0.0,,,29.0,0.02,30438.2,0.15565,1.5597993877551022,1.367425918367347,2.8017000000000003,10.918595714285717,8.20455551020408,0.2565989320709348,0.3414810219170923,0,0
Finlandia,2012,109.0,128.0,0.0,0.0,51.0,128.0,0.05,0.12,237.0,0.0,179.0,0.1699999999999999,30084.2,0.1554,1.6707346938775511,1.5543469387755102,2.7972,11.69514285714286,9.32608163265306,0.2391762147900227,0.2999330383519556,0,0
Finlandia,2013,169.0,288.0,0.01,0.01,48.0,133.0,0.05,0.13,457.0,0.02,181.0,0.18,29828.9,0.15685,1.64302,1.5239200000000002,2.8233,11.50114,9.14352,0.2454800132856395,0.3087760512362853,0,0
Finlandia,2014,386.0,566.0,0.01,0.02,183.0,242.0,0.17,0.23,952.0,0.03,425.0,0.4,29773.7,0.15505,1.6073265306122448,1.4875102040816328,2.7909,11.251285714285714,8.925061224489797,0.2480516512398582,0.312703737240698,0,0
Finlandia,2015,657.0,1017.0,0.02,0.03,236.0,410.0,0.22,0.38,1674.0,0.05,646.0,0.6,30379.3,0.1541,1.4680816326530612,1.308673469387755,2.7738000000000005,10.27657142857143,7.85204081632653,0.2699149243772242,0.3532584795321638,0,0
Finlandia,2016,889.0,2437.0,0.03,0.07,231.0,1195.0,0.19,1.0,3326.0,0.1,1426.0,1.19,30955.1,0.1543,1.3808399999999998,1.20026,2.7774,9.66588,7.201559999999999,0.2873406249612037,0.3856664389382301,0,0
Finlandia,2017,1538.0,5719.0,0.05,0.17,517.0,2522.0,0.44,2.13,7257.0,0.22,3039.0,2.57,32444.6,0.1589999999999999,1.4643199999999998,1.30202,2.862,10.250239999999998,7.81212,0.2792129745254745,0.3663538194497779,0,0
Finlandia,2018,2500.0,13095.0,0.07,0.38,807.0,4886.0,0.67,4.05,15595.0,0.45,5693.0,4.72,33393.2,0.1655,1.52234,1.40042,2.979,10.65638,8.402519999999999,0.2795508418431024,0.354536496193999,0,0
Finlandia,2019,4830.0,24703.0,0.14,0.7,1897.0,5983.0,1.66,5.24,29533.0,0.84,7880.0,6.9,33999.7,0.17585,1.5240816326530613,1.4079795918367346,3.1653,10.668571428571427,8.447877551020408,0.2966938939475094,0.3746858285863373,0,0
Finlandia,2020,9959.0,45620.0,0.28,1.26,4244.0,13231.0,4.4,13.73,55579.0,1.54,17475.0,18.130000000000003,34039.9,0.17565,1.41178,1.2552,3.1617,9.88246,7.5312,0.3199304626580831,0.4198135755258126,1,0
Finlandia,2021,23497.0,76990.0,0.65,2.11,10151.0,20163.0,10.31,20.48,100487.0,2.76,30314.0,30.79,36222.4,0.18035,1.6736122448979591,1.5153571428571428,3.2463,11.715285714285717,9.092142857142855,0.2770995158949846,0.357044543954749,1,0
Finlandia,2022,44889.0,104038.0,1.2,2.78,14529.0,16174.0,17.79,19.8,148927.0,3.98,30703.0,37.59,38350.4,0.2203999999999999,2.108627450980392,2.1218039215686275,3.9672,14.760392156862745,12.730823529411763,0.2687733467945482,0.3116216316120208,1,0
Finlandia,2023,83762.0,135105.0,2.22,3.58,29671.0,18085.0,33.91,20.67,218867.0,5.800000000000001,47756.0,54.58,39690.3,0.248,1.9292307692307693,1.937942307692308,4.464,13.504615384615384,11.627653846153846,0.3305536568694464,0.3839123574767051,1,0
Finlandia,2024,118297.0,166848.0,3.13,4.41,21868.0,14863.0,29.53,20.07,285145.0,7.54,36731.0,49.6,40871.6,0.2404,1.8016415094339624,1.7658113207547168,4.3272,12.611490566037736,10.594867924528302,0.343115667203763,0.4084241569431979,1,0
Finlandia,2025,164705.0,187039.0,4.31,4.9,26721.0,14513.0,37.18,20.19,351744.0,9.21,41234.0,57.370000000000005,42070.4,0.2264999999999999,1.7066335530411618,1.654171026889777,4.077,11.946434871288131,9.92502616133866,0.3412733626329471,0.4107797736474787,2,0
Francja,2008,2602.0,,,,0.0,0.0,,,,,0.0,,27310.5,0.1208,1.365462857142857,1.278917551020408,2.1744,9.55824,7.673505306122449,0.2274895796715713,0.2833646310591737,0,0
Francja,2009,2599.0,,0.01,,10.0,0.0,0.0,0.0,,,10.0,0.0,26292.5,0.12065,1.2092919999999998,1.00222,2.1717,8.465043999999999,6.01332,0.2565491685571865,0.3611482508830396,0,0
Francja,2010,2604.0,,0.01,,134.0,0.0,0.01,0.0,,,134.0,0.01,27301.3,0.13165,1.342614081632653,1.1426489795918366,2.3697,9.39829857142857,6.85589387755102,0.252141383037568,0.3456442066233492,0,0
Francja,2011,5293.0,,0.02,,2630.0,0.0,0.12,0.0,,,2630.0,0.12,28075.6,0.1402499999999999,1.4981204081632653,1.3325326530612245,2.5245,10.486842857142856,7.995195918367347,0.2407302211342375,0.3157521123654357,0,0
Francja,2012,7071.0,666.0,0.02,0.0,5663.0,668.0,0.3,0.04,7737.0,0.02,6331.0,0.3399999999999999,27944.5,0.14465,1.5664159183673472,1.3968755102040815,2.6037,10.96491142857143,8.38125306122449,0.2374574584538367,0.3106576046541187,0,0
Francja,2013,16165.0,1466.0,0.04,0.0,8583.0,810.0,0.49,0.05,17631.0,0.04,9393.0,0.54,28708.1,0.156,1.538434,1.351036,2.808,10.769038,8.106216,0.2607475245235461,0.3464008360991121,0,0
Francja,2014,25950.0,2985.0,0.07,0.01,11139.0,1011.0,0.63,0.06,28935.0,0.08,12150.0,0.69,28953.5,0.16435,1.4919118367346935,1.2925179591836733,2.9583,10.443382857142856,7.75510775510204,0.2832702813319384,0.3814647189207334,0,0
Francja,2015,41901.0,8025.0,0.11,0.02,17741.0,5043.0,0.94,0.27,49926.0,0.13,22784.0,1.21,29516.0,0.1679,1.356370612244898,1.1548863265306122,3.0222,9.494594285714284,6.929317959183673,0.3183074399026453,0.4361468210582789,0,0
Francja,2016,61338.0,14492.0,0.16,0.04,23011.0,6457.0,1.16,0.33,75830.0,0.2,29468.0,1.49,29858.6,0.1698,1.3011674,1.1017592,3.0564,9.1081718,6.6105552,0.3355667928881183,0.462351482973775,0,0
Francja,2017,82481.0,25295.0,0.22,0.07,26509.0,10549.0,1.27,0.51,107776.0,0.29,37058.0,1.78,30585.2,0.173,1.375376,1.2300448,3.114,9.627632,7.3802688,0.3234440202949177,0.4219358514421588,0,0
Francja,2018,106489.0,38734.0,0.28,0.1,32209.0,13389.0,1.51,0.63,145223.0,0.38,45598.0,2.14,31463.5,0.17735,1.5071972,1.4367702,3.1923000000000004,10.5503804,8.6206212,0.302576767753322,0.3703097405555878,0,0
Francja,2019,141357.0,57294.0,0.37,0.15,42933.0,18549.0,1.98,0.85,198651.0,0.52,61482.0,2.83,33247.6,0.18455,1.5049191836734692,1.4386797959183673,3.3219,10.534434285714283,8.632078775510204,0.3153372938597014,0.384831983858217,0,0
Francja,2020,245106.0,132309.0,0.64,0.34,110909.0,74587.0,6.72,4.52,377415.0,0.98,185496.0,11.239999999999998,31555.5,0.19255,1.356537,1.2604958,3.4659,9.495759,7.562974799999999,0.3649945201852742,0.4582720545360009,1,0
Francja,2021,470452.0,273600.0,1.21,0.71,162105.0,141439.0,9.77,8.53,744052.0,1.92,303544.0,18.3,33443.0,0.1984,1.5529438775510205,1.4310875510204082,3.5712,10.870607142857144,8.58652530612245,0.3285189091159975,0.415907468117939,1,0
Francja,2022,690093.0,411593.0,1.76,1.05,202868.0,126166.0,13.27,8.25,1101686.0,2.81,329034.0,21.52,35145.8,0.2148,1.808916862745098,1.8445715686274509,3.8664,12.662418039215686,11.067429411764705,0.3053445232992391,0.349349415853514,1,0
Francja,2023,916082.0,574602.0,2.32,1.45,296902.0,161999.0,16.73,9.13,1490684.0,3.77,458901.0,25.86,38055.1,0.24455,1.880760576923077,1.7951121153846157,4.4019,13.16532403846154,10.770672692307691,0.334355613818556,0.4086931360511765,1,0
Francja,2024,1218319.0,721450.0,3.08,1.83,290748.0,146392.0,16.92,8.52,1939769.0,4.91,437140.0,25.44,39294.2,0.28865,1.8208333962264152,1.6954111320754717,5.1957,12.745833773584906,10.17246679245283,0.4076390836641715,0.5107610676944948,1,0
Francja,2025,1543440.0,825313.0,3.88,2.08,327224.0,108619.0,20.05,6.65,2368753.0,5.96,435843.0,26.700000000000003,40716.0,0.2616,1.7259417999230768,1.6185617665384613,4.7088,12.081592599461535,9.711370599230769,0.3897499407660763,0.4848749156347695,2,0
Grecja,2008,,,,,0.0,0.0,,,,,0.0,,23623.4,0.1073,1.1280204081632652,1.2229183673469388,1.9314,7.896142857142856,7.337510204081633,0.244600437826787,0.2632228025966657,0,0
Grecja,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,22620.2,0.1093,0.99616,0.96626,1.9674,6.97312,5.79756,0.2821405626175944,0.3393496574420963,0,0
Grecja,2010,1.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,21075.8,0.1196,1.4298163265306123,1.243,2.1528,10.008714285714284,7.458,0.2150925621958008,0.2886564762670957,0,0
Grecja,2011,1.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,19146.0,0.1244,1.6665714285714286,1.471469387755102,2.2392,11.666,8.828816326530612,0.1919423967083833,0.2536240326204543,0,0
Grecja,2012,2.0,,0.0,,1.0,1.0,0.0,0.0,,,2.0,0.0,18153.6,0.14045,1.7497755102040815,1.5352244897959184,2.5281,12.248428571428573,9.21134693877551,0.2064019874269585,0.2744549756733045,0,0
Grecja,2013,3.0,,0.0,,3.0,,0.01,,,,,,18572.7,0.1629999999999999,1.6926734693877552,1.3924489795918369,2.934,11.848714285714289,8.35469387755102,0.2476218034506455,0.3511798329180712,0,0
Grecja,2014,45.0,17.0,0.0,0.0,44.0,,0.06,,62.0,0.0,,,18958.3,0.1775999999999999,1.653061224489796,1.350591836734694,3.1968,11.571428571428571,8.103551020408165,0.2762666666666666,0.3944937215733086,0,0
Grecja,2015,84.0,40.0,0.0,0.0,43.0,8.0,0.06,0.01,124.0,0.0,51.0,0.0699999999999999,19131.7,0.1769,1.4805714285714286,1.1765714285714286,3.1842,10.364,7.059428571428572,0.3072365881898881,0.451056338028169,0,0
Grecja,2016,114.0,53.0,0.0,0.0,28.0,6.0,0.04,0.01,167.0,0.0,34.0,0.05,19106.0,0.17195,1.39374,1.07182,3.0951,9.75618,6.43092,0.3172450692791645,0.4812841708495829,0,0
Grecja,2017,148.0,207.0,0.0,0.0,58.0,120.0,0.07,0.14,355.0,0.0,178.0,0.21,19700.8,0.16655,1.51092,1.26372,2.9979,10.57644,7.582319999999999,0.2834507641512645,0.395380305763935,0,0
Grecja,2018,215.0,366.0,0.0,0.01,108.0,155.0,0.1,0.15,581.0,0.01,263.0,0.25,20203.0,0.1659,1.5969,1.38646,2.9862,11.1783,8.318760000000001,0.2671425887657336,0.3589717698310805,0,0
Grecja,2019,426.0,570.0,0.01,0.01,190.0,289.0,0.17,0.25,996.0,0.02,479.0,0.42,20765.1,0.1573,1.585714285714286,1.3804285714285711,2.8314,11.1,8.282571428571428,0.255081081081081,0.3418503570319776,0,0
Grecja,2020,1104.0,2031.0,0.02,0.04,678.0,1461.0,0.84,1.81,3135.0,0.06,2139.0,2.65,18866.4,0.16575,1.44518,1.1873399999999998,2.9835000000000003,10.11626,7.124039999999999,0.2949212455986699,0.4187932689878216,1,0
Grecja,2021,3280.0,6823.0,0.06,0.12,2120.0,4811.0,2.1,4.76,10103.0,0.18,6931.0,6.859999999999999,21245.7,0.1827,1.646204081632653,1.372938775510204,3.2886,11.523428571428571,8.237632653061224,0.28538381434097,0.3992166364420133,1,0
Grecja,2022,6306.0,12269.0,0.11,0.22,2644.0,5322.0,2.51,5.05,18575.0,0.33,7966.0,7.56,24026.4,0.2269499999999999,2.051176470588235,1.869,4.0851,14.358235294117645,11.214,0.2845126797492728,0.3642857142857142,1,0
Grecja,2023,12315.0,20643.0,0.21,0.36,6050.0,8754.0,4.5,6.51,32958.0,0.57,14804.0,11.01,26263.1,0.2318,1.9020192307692307,1.6988653846153845,4.1724,13.314134615384615,10.193192307692309,0.3133812388511341,0.4093320202397528,1,0
Grecja,2024,17987.0,27290.0,0.3,0.45,8707.0,8344.0,5.92,5.67,45277.0,0.75,17051.0,11.59,27373.2,0.2264499999999999,1.8548490566037736,1.6276037735849056,4.076099999999999,12.983943396226415,9.765622641509434,0.3139339009429643,0.4173927408042845,1,0
Grecja,2025,30789.0,38323.0,0.5,0.62,8863.0,11670.0,6.15,8.09,69112.0,1.12,20533.0,14.24,28469.9,0.2343,1.7605384615384614,1.55,4.2174000000000005,12.32376923076923,9.3,0.3422167293972249,0.4534838709677419,2,0
Hiszpania,2008,,,,,0.0,0.0,,,,,0.0,,25864.6,0.14615,1.1317216326530612,1.1507604081632654,2.6307,7.922051428571429,6.9045624489795925,0.3320730777525879,0.3810089371251591,0,0
Hiszpania,2009,,,,,1.0,0.0,0.0,0.0,,,1.0,0.0,24320.0,0.16305,1.0062034,0.9129636,2.9349,7.043423799999999,5.4777816,0.4166865551949323,0.5357825876080929,0,0
Hiszpania,2010,,,,,73.0,0.0,0.01,0.0,,,73.0,0.01,24085.9,0.17895,1.16218306122449,1.0745320408163266,3.2211,8.13528142857143,6.447192244897959,0.3959420492433573,0.4996128357346634,0,0
Hiszpania,2011,568.0,,0.0,,568.0,8.0,0.07,0.0,,,576.0,0.07,23861.2,0.20345,1.3174802040816325,1.2668979591836735,3.662100000000001,9.222361428571428,7.601387755102041,0.3970891867948913,0.4817672927607204,0,0
Hiszpania,2012,1023.0,109.0,0.0,0.0,443.0,109.0,0.06,0.02,1132.0,0.0,552.0,0.08,23546.6,0.22325,1.425644285714286,1.3663665306122448,4.0185,9.97951,8.198199183673468,0.4026750812414637,0.490168622397313,0,0
Hiszpania,2013,2021.0,190.0,0.01,0.0,936.0,73.0,0.13,0.01,2211.0,0.01,1009.0,0.14,23552.4,0.22505,1.4311422916666667,1.3585479591836735,4.0509,10.017996041666668,8.151287755102041,0.4043623079058497,0.4969644210467809,0,0
Hiszpania,2014,2832.0,612.0,0.01,0.0,1085.0,306.0,0.12,0.03,3444.0,0.01,1391.0,0.15,24212.7,0.2266,1.3926463265306122,1.3109222448979592,4.0788,9.748524285714286,7.865533469387754,0.4184017888714878,0.5185662251485518,0,0
Hiszpania,2015,5243.0,1368.0,0.02,0.01,1461.0,761.0,0.14,0.07,6611.0,0.03,2222.0,0.21,25351.1,0.23395,1.2317565306122449,1.1203361224489796,4.2111,8.622295714285714,6.722016734693877,0.4883966103160792,0.6264637780899209,0,0
Hiszpania,2016,5756.0,3131.0,0.03,0.01,2211.0,1507.0,0.19,0.13,8887.0,0.04,3718.0,0.32,26145.0,0.2234499999999999,1.149463,1.0119598,4.0221,8.046240999999998,6.0717588000000005,0.4998731705898445,0.6624274995903987,0,0
Hiszpania,2017,9681.0,6583.0,0.04,0.03,4084.0,3316.0,0.32,0.26,16264.0,0.07,7400.0,0.5800000000000001,27390.8,0.22365,1.2168797999999998,1.0995724,4.0257000000000005,8.5181586,6.5974344,0.4726021419699793,0.6101917436268863,0,0
