panstwo,rok,liczba_bev_we_flocie,liczba_phev_we_flocie,procent_bev_we_flocie,procent_phev_we_flocie,liczba_bev_w_nowych_rejestracjach,liczba_phev_w_nowych_rejestracjach,procent_bev_w_nowych_rejestracjach,procent_phev_w_nowych_rejestracjach,liczba_ev_we_flocie,procent_ev_we_flocie,liczba_ev_w_nowych_rejestracjach,procent_ev_w_nowych_rejestracjach,pkb_per_capita_pps,cena_energii_eur_kwh,cena_benzyny_eur_litr,cena_diesla_eur_litr,koszt_100_km_ev,koszt_100_km_benzyna,koszt_100_km_diesel,relacja_kosztu_ev_do_benzyny,relacja_kosztu_ev_do_diesla,polityka_ue_etap,po_2035
Belgia,2013,919.0,359.0,0.02,0.01,494.0,60.0,0.1,0.01,1278.0,0.03,554.0,0.11,31661.5,0.2193999999999999,1.582044081632653,1.4027810204081634,3.9492,11.074308571428572,8.416686122448981,0.3566091710853021,0.4692107965707187,0,0
Belgia,2014,1792.0,1159.0,0.03,0.02,1339.0,652.0,0.27,0.13,2951.0,0.05,1991.0,0.4,32359.4,0.207,1.5342485714285712,1.3502891836734694,3.726,10.739739999999998,8.101735102040816,0.3469357731192748,0.4599014844439218,0,0
Belgia,2015,2871.0,4098.0,0.05,0.07,1613.0,2170.0,0.32,0.43,6969.0,0.12,3783.0,0.75,33127.0,0.2239,1.365825918367347,1.1581108163265306,4.0302,9.560781428571428,6.948664897959183,0.4215345816772,0.5799963099650504,0,0
Belgia,2016,4368.0,11422.0,0.08,0.2,2216.0,7124.0,0.41,1.3,15790.0,0.28,9340.0,1.71,33631.0,0.26445,1.2633166,1.1046934,4.7601,8.8432162,6.6281604,0.5382770128361218,0.7181630667839602,0,0
Belgia,2017,8552.0,22273.0,0.15,0.38,2945.0,11651.0,0.53,2.1,30825.0,0.53,14596.0,2.63,34519.6,0.2867,1.3504261999999998,1.2490476,5.1606000000000005,9.4529834,7.494285599999999,0.5459228882174914,0.688604661663815,0,0
Belgia,2018,9244.0,33005.0,0.16,0.56,4041.0,9440.0,0.72,1.69,42249.0,0.7200000000000001,13481.0,2.41,35579.3,0.288,1.4031835999999998,1.421089,5.184000000000001,9.822285199999998,8.526534,0.5277794214323976,0.607984440101922,0,0
Belgia,2019,15338.0,41987.0,0.26,0.71,8886.0,8830.0,1.59,1.58,57325.0,0.97,17716.0,3.17,36884.8,0.28495,1.391061224489796,1.4369673469387754,5.129099999999999,9.737428571428572,8.621804081632652,0.5267407059652005,0.5948986953817138,0,0
Belgia,2020,23983.0,74988.0,0.41,1.27,14996.0,33006.0,3.48,7.65,98971.0,1.68,48002.0,11.13,35850.5,0.2747,1.2775436,1.2910382,4.9446,8.9428052,7.7462292,0.5529137546236611,0.6383234826049299,1,0
Belgia,2021,40851.0,123435.0,0.69,2.08,21975.0,48447.0,5.74,12.65,164286.0,2.77,70422.0,18.39,38699.2,0.2848,1.4857632653061223,1.496627142857143,5.1264,10.400342857142856,8.979762857142857,0.4929068272474534,0.570883672715506,1,0
Belgia,2022,71651.0,182996.0,1.2,3.08,37815.0,60541.0,10.32,16.53,254647.0,4.28,98356.0,26.85,42520.4,0.3963,1.797892745098039,1.9255929411764707,7.1334,12.585249215686272,11.553557647058824,0.5668064158085101,0.6174202109785587,1,0
Belgia,2023,138749.0,265455.0,2.32,4.43,93382.0,100429.0,19.59,21.07,404204.0,6.75,193811.0,40.66,45367.3,0.4064,1.723139807692308,1.7680661538461535,7.3152,12.061978653846156,10.608396923076922,0.6064676625561288,0.6895669584239364,1,0
Belgia,2024,254240.0,326468.0,4.18,5.36,127242.0,66383.0,28.38,14.81,580708.0,9.54,193625.0,43.19,46587.9,0.33335,1.635917358490566,1.7190833962264152,6.000299999999999,11.451421509433962,10.314500377358492,0.5239786165461472,0.5817344302174193,1,0
Belgia,2025,447937.0,390212.0,7.3,6.36,142826.0,39227.0,34.43,9.46,838149.0,13.66,182053.0,43.89,47676.3,0.3535,1.5533471153846152,1.6585934615384614,6.363,10.873429807692307,9.951560769230769,0.5851879409290484,0.639397190807874,2,0
Bułgaria,2008,,,,,0.0,0.0,,,,,0.0,,10942.7,0.0766999999999999,1.0219830612244898,1.0937469387755103,1.3805999999999998,7.153881428571428,6.562481632653062,0.1929861451835237,0.210377731669453,0,0
Bułgaria,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,10512.3,0.08205,0.8819056,0.8353126,1.4769,6.1733392,5.0118756,0.2392384335531084,0.2946800994023076,0,0
Bułgaria,2010,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,11113.0,0.08215,1.0185214285714286,0.9780651020408164,1.4787,7.12965,5.868390612244898,0.2074014853464054,0.2519770917966105,0,0
Bułgaria,2011,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,11734.9,0.085,1.1681428571428571,1.1745653061224488,1.53,8.177,7.047391836734693,0.1871101871101871,0.2171015938158624,0,0
Bułgaria,2012,72.0,4.0,0.0,0.0,0.0,4.0,0.0,0.02,76.0,0.0,4.0,0.02,12125.1,0.0900499999999999,1.2782304081632654,1.273333673469388,1.6208999999999998,8.947612857142857,7.640002040816327,0.1811544627465681,0.2121596291912519,0,0
Bułgaria,2013,91.0,4.0,0.0,0.0,,,,,95.0,0.0,,,12194.1,0.0902999999999999,1.317534,1.3343362,1.6254,9.222738,8.006017199999999,0.1762383361643798,0.2030222967794773,0,0
Bułgaria,2014,147.0,6.0,0.0,0.0,,,,,153.0,0.0,,,12894.9,0.08635,1.2768363265306122,1.3031475510204082,1.5543,8.937854285714286,7.81888530612245,0.1739007988174854,0.1987879268139323,0,0
Bułgaria,2015,183.0,24.0,0.01,0.0,10.0,,0.06,,207.0,0.01,,,13586.9,0.09495,1.1029548979591837,1.125930612244898,1.7091,7.720684285714285,6.755583673469388,0.2213663888785579,0.2529907233200291,0,0
Bułgaria,2016,215.0,31.0,0.01,0.0,11.0,,0.05,,246.0,0.01,,,14411.0,0.0947,0.9838294,0.953584,1.7046,6.8868058,5.721504,0.247516780566108,0.2979286565210826,0,0
Bułgaria,2017,384.0,133.0,0.01,0.0,13.0,48.0,0.05,0.18,517.0,0.01,61.0,0.2299999999999999,15329.3,0.0969,1.0259268,1.0123142,1.7442,7.1814876,6.0738852,0.2428744707433596,0.2871638074423929,0,0
Bułgaria,2018,710.0,252.0,0.03,0.01,145.0,77.0,0.51,0.27,962.0,0.04,222.0,0.78,16273.7,0.0992,1.0982826,1.1059882,1.7856,7.687978200000001,6.6359292000000005,0.2322587231061607,0.2690806285275015,0,0
Bułgaria,2019,1185.0,662.0,0.04,0.02,188.0,88.0,0.57,0.27,1847.0,0.06,276.0,0.84,17407.9,0.09775,1.0842144897959185,1.1109051020408165,1.7595,7.5895014285714275,6.665430612244897,0.2318334104762387,0.2639739429239074,0,0
Bułgaria,2020,1933.0,953.0,0.07,0.03,277.0,279.0,1.24,1.25,2886.0,0.1,556.0,2.49,17473.0,0.09895,0.9311896,0.92197,1.7811,6.518327200000001,5.531820000000001,0.27324495155751,0.321973600008677,1,0
Bułgaria,2021,3369.0,1293.0,0.12,0.05,550.0,267.0,2.24,1.09,4662.0,0.1699999999999999,817.0,3.33,19748.1,0.10575,1.075895306122449,1.0649102040816327,1.9035,7.531267142857143,6.389461224489796,0.2527463126580672,0.2979124425552791,1,0
Bułgaria,2022,6293.0,1889.0,0.22,0.07,1021.0,456.0,3.56,1.59,8182.0,0.29,1477.0,5.15,22421.2,0.1119999999999999,1.463731176470588,1.5665123529411764,2.016,10.246118235294116,9.39907411764706,0.1967574405940017,0.2144892118910836,1,0
Bułgaria,2023,11472.0,3232.0,0.41,0.12,1754.0,338.0,4.9,0.95,14704.0,0.53,2092.0,5.8500000000000005,24254.4,0.1164999999999999,1.337706470588235,1.368307450980392,2.097,9.363945294117649,8.209844705882352,0.223944067819076,0.2554250506708732,1,0
Bułgaria,2024,19020.0,6235.0,0.61,0.2,1665.0,1498.0,3.96,3.56,25255.0,0.81,3163.0,7.52,26324.3,0.1202,1.3106739682646873,1.3095958704540152,2.1636,9.17471777785281,7.85757522272409,0.2358219677582665,0.2753521205553176,1,0
Bułgaria,2025,21545.0,6813.0,0.68,0.22,2428.0,582.0,4.9,1.18,28358.0,0.9,3010.0,6.08,28332.0,0.13275,1.2377101245211484,1.2376186805320666,2.3895,8.663970871648038,7.425712083192399,0.2757973261220666,0.3217873213006026,2,0
Chorwacja,2008,1.0,,,,0.0,0.0,,,,,0.0,,16306.4,0.1087,,,1.9566,,,,,0,0
Chorwacja,2009,1.0,,0.0,,0.0,0.0,,,,,0.0,,15365.0,0.1157499999999999,,,2.0835,,,,,0,0
Chorwacja,2010,3.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,15243.6,0.1152,,,2.0736,,,,,0,0
Chorwacja,2011,7.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,15782.9,0.11415,,,2.0547,,,,,0,0
Chorwacja,2012,13.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,15972.1,0.1296,,,2.3328,,,,,0,0
Chorwacja,2013,24.0,12.0,0.0,0.0,,,,,36.0,0.0,,,16209.1,0.1361,1.3688024,1.2981016,2.4498,9.5816168,7.788609599999999,0.2556771003407275,0.3145362427717522,0,0
Chorwacja,2014,39.0,33.0,0.0,0.0,14.0,,0.02,,72.0,0.0,,,16301.6,0.1318,1.3820991836734695,1.3038067346938775,2.3724,9.674694285714288,7.822840408163265,0.2452170507861008,0.3032658057966209,0,0
Chorwacja,2015,163.0,70.0,0.01,0.0,70.0,30.0,0.09,0.04,233.0,0.01,100.0,0.13,17084.7,0.13145,1.259451836734694,1.1637914285714284,2.3661000000000003,8.816162857142857,6.98274857142857,0.2683820657966845,0.3388493765451346,0,0
Chorwacja,2016,233.0,96.0,0.02,0.01,45.0,29.0,0.05,0.03,329.0,0.03,74.0,0.08,17960.8,0.1321,1.1834938,1.0736294,2.3778,8.284456599999999,6.4417764,0.2870194286490679,0.3691217844816842,0,0
Chorwacja,2017,285.0,132.0,0.02,0.01,7.0,16.0,0.01,0.02,417.0,0.03,23.0,0.03,19169.3,0.1216,1.2665072,1.1736618,2.1888,8.8655504,7.0419708,0.2468882247852316,0.3108220783874878,0,0
Chorwacja,2018,461.0,230.0,0.03,0.01,130.0,5.0,0.09,0.0,691.0,0.04,135.0,0.09,20216.2,0.1316,1.3556758,1.3091496,2.3688,9.4897306,7.8548976,0.249617201988853,0.3015698129533859,0,0
Chorwacja,2019,725.0,352.0,0.04,0.02,240.0,116.0,0.16,0.08,1077.0,0.06,356.0,0.24,21518.8,0.1322499999999999,1.3405481632653062,1.3193355102040816,2.3805,9.383837142857145,7.91601306122449,0.2536808731609335,0.3007195644560712,0,0
Chorwacja,2020,1314.0,553.0,0.08,0.03,533.0,142.0,1.48,0.39,1867.0,0.11,675.0,1.87,20213.9,0.1304,1.2038003999999998,1.1589676,2.3472000000000004,8.426602799999998,6.9538056,0.2785464149324804,0.3375417915047841,1,0
Chorwacja,2021,2977.0,1181.0,0.17,0.07,1351.0,399.0,3.01,0.89,4158.0,0.24,1750.0,3.9,23588.3,0.1301999999999999,1.4069765306122448,1.36180306122449,2.3435999999999995,9.848835714285714,8.17081836734694,0.2379570609143792,0.2868256146000912,1,0
Chorwacja,2022,4801.0,2544.0,0.26,0.14,1305.0,770.0,3.04,1.79,7345.0,0.4,2075.0,4.83,26007.8,0.14165,1.6045325490196078,1.7625360784313726,2.5497,11.231727843137255,10.575216470588236,0.2270087056603586,0.241101447624379,1,0
Chorwacja,2023,7058.0,4534.0,0.37,0.24,1617.0,1014.0,2.87,1.8,11592.0,0.61,2631.0,4.67,29847.3,0.148,1.4909940384615386,1.5820009615384616,2.664,10.43695826923077,9.492005769230769,0.2552467808416698,0.280657225118384,1,0
Chorwacja,2024,9987.0,8146.0,0.5,0.41,1793.0,1405.0,2.76,2.16,18133.0,0.91,3198.0,4.92,31053.1,0.14775,1.5362641509433963,1.5605849056603776,2.6595,10.753849056603777,9.363509433962266,0.2473068001979106,0.2840281220152095,1,0
Chorwacja,2025,12605.0,13562.0,0.62,0.66,1293.0,2529.0,1.85,3.62,26167.0,1.28,3822.0,5.470000000000001,32370.2,0.1638,1.4891153846153846,1.4763461538461538,2.9484,10.423807692307692,8.858076923076922,0.2828524937366015,0.3328487690504103,2,0
Cypr,2008,,,,,0.0,0.0,,,,,0.0,,27029.6,0.191,1.0349697959183672,1.092525306122449,3.438,7.244788571428571,6.5551518367346935,0.4745480100769972,0.5244729772289402,0,0
Cypr,2009,,,,,0.0,0.0,,,,,0.0,,25593.1,0.16,0.8816010000000001,0.8323366000000001,2.88,6.171207000000001,4.994019600000001,0.4666834218978555,0.5766897670966289,0,0
Cypr,2010,,,,,0.0,0.0,,,,,0.0,,25363.5,0.19395,1.0388297959183674,1.004364693877551,3.4911000000000003,7.271808571428572,6.0261881632653065,0.4800868952624479,0.5793214392609238,0,0
Cypr,2011,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,24894.2,0.22315,1.2130071428571427,1.2517236734693875,4.0167,8.49105,7.510342040816326,0.4730510360909428,0.5348225124994987,0,0
Cypr,2012,1.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,23616.7,0.2845,1.3179485714285712,1.3507010204081635,5.121,9.22564,8.104206122448982,0.5550834413655855,0.6318940958096587,0,0
Cypr,2013,6.0,,0.0,,,,,,,,,,21994.0,0.26205,1.3767207999999995,1.4070682,4.7169,9.6370456,8.4424092,0.4894549840046415,0.5587149222759777,0,0
Cypr,2014,15.0,3.0,0.0,0.0,,,,,18.0,0.0,,,21426.7,0.23235,1.4058653061224489,1.4230702040816328,4.1823,9.841057142857142,8.538421224489797,0.4249848303173004,0.4898212315883851,0,0
Cypr,2015,23.0,29.0,0.0,0.01,,20.0,,0.2,52.0,0.01,,,22563.5,0.18975,1.2285032653061223,1.2261532653061225,3.4155,8.599522857142858,7.356919591836735,0.3971731986459049,0.4642568071275172,0,0
Cypr,2016,40.0,49.0,0.01,0.01,21.0,18.0,0.17,0.14,89.0,0.02,39.0,0.31,24483.3,0.1573999999999999,1.1451036,1.1253324,2.8332,8.015725199999999,6.7519944,0.353455230725724,0.4196093527565721,0,0
Cypr,2017,87.0,104.0,0.02,0.02,49.0,50.0,0.37,0.38,191.0,0.04,99.0,0.75,25941.8,0.18445,1.2081784,1.2019648,3.3201,8.4572488,7.211788800000001,0.3925744741008447,0.460371218857657,0,0
Cypr,2018,114.0,158.0,0.02,0.03,37.0,49.0,0.28,0.37,272.0,0.05,86.0,0.65,27303.3,0.2037999999999999,1.279967,1.3073678,3.6684,8.959769,7.8442068,0.4094301984794474,0.4676572269869274,0,0
Cypr,2019,167.0,242.0,0.03,0.04,63.0,88.0,0.5,0.7,409.0,0.07,151.0,1.2,28873.4,0.2219499999999999,1.1830710204081634,1.2329961224489796,3.9951,8.281497142857143,7.397976734693877,0.4824127728457656,0.5400260291796274,0,0
Cypr,2020,240.0,320.0,0.04,0.06,42.0,78.0,0.42,0.78,560.0,0.1,120.0,1.2,27194.2,0.19155,1.0802954,1.1144328,3.4479,7.5620678,6.6865968,0.4559467187004062,0.5156434735230334,1,0
Cypr,2021,333.0,468.0,0.06,0.08,80.0,122.0,0.75,1.15,801.0,0.14,202.0,1.9,30382.9,0.214,1.24614693877551,1.2824634693877552,3.852,8.72302857142857,7.694780816326531,0.4415897493007016,0.5005990543391378,1,0
Cypr,2022,830.0,662.0,0.14,0.11,361.0,197.0,3.1,1.69,1492.0,0.25,558.0,4.79,34492.5,0.2934,1.5368096078431372,1.7430154901960784,5.2812,10.75766725490196,10.45809294117647,0.4909242752041348,0.5049869062844548,1,0
Cypr,2023,1449.0,1175.0,0.23,0.19,796.0,505.0,5.39,3.42,2624.0,0.42,1301.0,8.809999999999999,37400.0,0.35955,1.4478507692307694,1.5468421153846152,6.471900000000001,10.134955384615386,9.281052692307693,0.6385721253222472,0.6973239151377765,1,0
Cypr,2024,2150.0,1440.0,0.33,0.22,1193.0,664.0,7.92,4.41,3590.0,0.55,1857.0,12.33,39456.4,0.3246,1.4397558490566036,1.5061507547169812,5.8428,10.078290943396226,9.036904528301887,0.5797411518297634,0.6465488245119165,1,0
Cypr,2025,3569.0,2235.0,0.53,0.33,1474.0,773.0,10.07,5.28,5804.0,0.8600000000000001,2247.0,15.35,40957.0,0.2853,1.366345769230769,1.4554965384615386,5.1354,9.564420384615383,8.732979230769232,0.5369274659090082,0.5880467437625699,2,0
Czechy,2008,29.0,,,,0.0,0.0,,,,,0.0,,21587.1,0.14145,1.2316148979591834,1.28969306122449,2.5461000000000005,8.621304285714285,7.738158367346939,0.2953265440611987,0.3290317772176769,0,0
Czechy,2009,34.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,20826.7,0.1493999999999999,1.0322017999999995,0.9898316,2.6892,7.2254125999999985,5.9389896,0.3721863579112423,0.4528042951952634,0,0
Czechy,2010,38.0,,0.0,,4.0,0.0,0.0,0.0,,,4.0,0.0,21227.7,0.15225,1.2546514285714283,1.208533673469388,2.7405,8.78256,7.251202040816327,0.3120388588293162,0.3779373384680203,0,0
Czechy,2011,72.0,,0.0,,56.0,0.0,0.03,0.0,,,56.0,0.03,21786.3,0.1643,1.4070151020408164,1.3922089795918369,2.9574,9.849105714285717,8.35325387755102,0.3002709165473181,0.3540416756574194,0,0
Czechy,2012,145.0,13.0,0.0,0.0,92.0,16.0,0.05,0.01,158.0,0.0,108.0,0.06,21767.3,0.1666,1.462898163265306,1.4527438775510204,2.9988,10.240287142857142,8.716463265306123,0.2928433507933162,0.3440386207942886,0,0
Czechy,2013,191.0,18.0,0.0,0.0,33.0,4.0,0.02,0.0,209.0,0.0,37.0,0.02,22410.7,0.1663,1.395570204081633,1.3927440816326533,2.9934000000000003,9.768991428571429,8.35646448979592,0.3064185307037106,0.358213692364186,0,0
Czechy,2014,417.0,54.0,0.01,0.0,58.0,13.0,0.03,0.01,471.0,0.01,71.0,0.04,23517.1,0.13835,1.317671224489796,1.3224983673469388,2.4903,9.22369857142857,7.934990204081632,0.2699893085962263,0.3138378165506782,0,0
Czechy,2015,713.0,131.0,0.01,0.0,312.0,89.0,0.14,0.04,844.0,0.01,401.0,0.18,24603.7,0.13965,1.1541879591836737,1.148105918367347,2.5137,8.079315714285714,6.888635510204082,0.311127834199537,0.3649053569863691,0,0
