panstwo,rok,cena_energii_eur_kwh,cena_benzyny_eur_litr,cena_diesla_eur_litr,koszt_100_km_ev,koszt_100_km_benzyna,koszt_100_km_diesel,relacja_kosztu_ev_do_benzyny,relacja_kosztu_ev_do_diesla
Austria,2008,0.17754999999999999,1.2156938775510204,1.2449183673469388,3.1959,8.509857142857143,7.469510204081633,0.3755527203746915,0.4278593793544368
Austria,2009,0.1909,1.04486,0.9738600000000001,3.4362,7.314019999999999,5.84316,0.46981003606771654,0.5880722075041587
Austria,2010,0.19485000000000002,1.1874897959183672,1.1038979591836735,3.5073000000000003,8.31242857142857,6.623387755102041,0.42193445271280533,0.5295326394409422
Austria,2011,0.19755,1.3574081632653061,1.3289795918367346,3.5559000000000003,9.501857142857142,7.973877551020408,0.37423210500202975,0.44594364250614255
Austria,2012,0.19995000000000002,1.4497755102040817,1.4100408163265306,3.5991000000000004,10.148428571428571,8.460244897959184,0.35464603949942997,0.4254132171597291
Austria,2013,0.20500000000000002,1.3929795918367347,1.3573265306122448,3.6900000000000004,9.750857142857143,8.14395918367347,0.37842827004219415,0.4530965733960817
Austria,2014,0.2004,1.3496938775510205,1.3011632653061225,3.6071999999999997,9.447857142857144,7.806979591836734,0.38180086187344064,0.46204808883730414
Austria,2015,0.1996,1.2020816326530612,1.1219183673469388,3.5928,8.414571428571428,6.7315102040816335,0.42697361719466237,0.5337286717357296
Austria,2016,0.2022,1.11142,1.03024,3.6395999999999997,7.779940000000001,6.18144,0.4678185178806005,0.5887948439198633
Austria,2017,0.19640000000000002,1.17744,1.1053199999999999,3.5352000000000006,8.24208,6.631919999999999,0.4289208549298236,0.5330582998588645
Austria,2018,0.1989,1.26434,1.22296,3.5802,8.85038,7.33776,0.40452500344617975,0.48791456793353827
Austria,2019,0.2054,1.238204081632653,1.2057755102040817,3.6972,8.667428571428571,7.23465306122449,0.4265625,0.511040400792106
Austria,2020,0.2139,1.08368,1.05006,3.8502,7.58576,6.3003599999999995,0.5075562633144207,0.611107936689332
Austria,2021,0.22505,1.2833673469387754,1.2372244897959184,4.0509,8.983571428571429,7.42334693877551,0.45092311362010024,0.5456972486144102
Austria,2022,0.23095,1.7277058823529412,1.8203529411764705,4.1571,12.093941176470588,10.922117647058823,0.3437341011785191,0.3806130032960641
Austria,2023,0.27005,1.5954117647058825,1.6421568627450982,4.8609,11.167882352941177,9.852941176470589,0.4352570922919717,0.49334507462686567
Austria,2024,0.2584,1.5682452830188678,1.597245283018868,4.6512,10.977716981132074,9.583471698113208,0.4236946541793926,0.48533560138918425
Austria,2025,0.30884999999999996,1.5192115384615386,1.5362115384615385,5.5592999999999995,10.63448076923077,9.217269230769231,0.5227617709446593,0.6031395916527921
Belgia,2008,0.2062,1.4177234693877552,1.2076304081632652,3.7116,9.924064285714286,7.2457824489795915,0.3739999956814928,0.5122428152010963
Belgia,2009,0.189,1.240421,0.9501714,3.402,8.682947,5.7010284,0.391802460616194,0.5967344418070255
Belgia,2010,0.19665,1.4007326530612245,1.1432183673469387,3.5397,9.805128571428572,6.859310204081632,0.3610049551328095,0.5160431435064274
Belgia,2011,0.21275,1.5445285714285713,1.3746714285714283,3.8295,10.811699999999998,8.24802857142857,0.3541996170814951,0.4642927660635789
Belgia,2012,0.22749999999999998,1.646034693877551,1.4646346938775512,4.095,11.522242857142857,8.787808163265307,0.3553995563859715,0.46598650356500393
Belgia,2013,0.21939999999999998,1.582044081632653,1.4027810204081634,3.9492,11.074308571428572,8.416686122448981,0.35660917108530216,0.4692107965707187
Belgia,2014,0.20700000000000002,1.5342485714285712,1.3502891836734694,3.7260000000000004,10.739739999999998,8.101735102040816,0.34693577311927487,0.45990148444392187
Belgia,2015,0.2239,1.365825918367347,1.1581108163265306,4.0302,9.560781428571428,6.948664897959183,0.42153458167720004,0.5799963099650504
Belgia,2016,0.26445,1.2633166,1.1046934,4.7601,8.8432162,6.6281604,0.5382770128361218,0.7181630667839602
Belgia,2017,0.2867,1.3504261999999998,1.2490476,5.1606000000000005,9.452983399999999,7.4942855999999995,0.5459228882174914,0.688604661663815
Belgia,2018,0.28800000000000003,1.4031835999999998,1.421089,5.184000000000001,9.822285199999998,8.526534,0.5277794214323976,0.607984440101922
Belgia,2019,0.28495,1.391061224489796,1.4369673469387754,5.129099999999999,9.737428571428572,8.621804081632652,0.5267407059652005,0.5948986953817138
Belgia,2020,0.2747,1.2775436,1.2910382,4.9446,8.9428052,7.7462292,0.5529137546236611,0.6383234826049299
Belgia,2021,0.2848,1.4857632653061223,1.496627142857143,5.1264,10.400342857142856,8.979762857142857,0.49290682724745344,0.570883672715506
Belgia,2022,0.3963,1.797892745098039,1.9255929411764707,7.1334,12.585249215686273,11.553557647058824,0.5668064158085101,0.6174202109785587
Belgia,2023,0.4064,1.723139807692308,1.7680661538461537,7.3152,12.061978653846156,10.608396923076922,0.6064676625561288,0.6895669584239364
