panstwo,rok,pkb_per_capita_pps,relacja_kosztu_ev_do_benzyny
Polska,2026,32064.53594771307,0.39082409634606385
Polska,2027,33139.53914688714,0.3974287955125533
Polska,2028,34214.54234606167,0.4040334946790427
Polska,2029,35289.54554523574,0.41063819384553213
Polska,2030,36364.54874441028,0.41724289301202155
Polska,2031,37439.55194358481,0.4238475921785092
Polska,2032,38514.55514275888,0.4304522913449986
Polska,2033,39589.558341933414,0.43705699051148805
Polska,2034,40664.56154110748,0.4436616896779775
Polska,2035,41739.56474028202,0.4502663888444669
Polska,2036,42814.56793945655,0.45687108801095455
Polska,2037,43889.57113863062,0.463475787177444
Polska,2038,44964.574337805156,0.4700804863439334
Polska,2039,46039.577536979225,0.4766851855104228
Polska,2040,47114.58073615376,0.48328988467691225
