parametr,wartosc
const,-15.440114918163165
pkb,0.00024275203766520933
relacja_kosztu,3.2122019848792123
polityka_ue_etap,1.834434909008395
panstwo_Belgia,0.00209066303047401
panstwo_Bułgaria,2.931289302068061
panstwo_Chorwacja,2.8285927827647006
panstwo_Cypr,0.00788764545300841
panstwo_Czechy,0.4820394510949948
panstwo_Dania,-0.23005652384091074
panstwo_Estonia,2.5587826296498544
panstwo_Finlandia,1.4613153257699327
panstwo_Francja,1.6504276464302088
panstwo_Grecja,1.5896412976706757
panstwo_Hiszpania,1.2328963733461187
panstwo_Holandia,0.8893844929102848
panstwo_Irlandia,-5.227420820254278
panstwo_Litwa,0.38033654628483826
panstwo_Luksemburg,-10.996363009720742
panstwo_Malta,1.4950444146104636
panstwo_Niemcy,-0.9612154409946044
panstwo_Polska,1.567834605158626
panstwo_Portugalia,3.2833059280426737
panstwo_Rumunia,2.70575013534856
panstwo_Szwecja,1.426124396790531
panstwo_Słowacja,1.3800537225273315
panstwo_Słowenia,1.2402607030913506
panstwo_Wielka_Brytania,0.9976663449740196
panstwo_Węgry,2.746589712806526
panstwo_Włochy,0.05496782362029693
panstwo_Łotwa,2.7388609100491594
