"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",1,122,1
"2021",24,416,5
"2022",22,729,15
"2023",55,1066,44
"2024",234,1596,62
"2025",312,1908,69
"2026",371,2016,59
