"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",7,31,14,18
"2021",42,90,20,28
"2022",49,113,20,48
"2023",53,124,40,45
"2024",65,176,93,59
"2025",96,186,171,51
"2026",92,254,253,52
