"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",18,183,61
"2021",18,474,30
"2022",23,705,39
"2023",2,636,37
"2024",11,1214,37
"2025",14,1331,33
"2026",15,1214,30
