"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",1,1042,118
"2021",27,1784,175
"2022",46,2338,213
"2023",65,4335,77
"2024",69,6190,290
"2025",61,8063,274
"2026",231,8160,272
