"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",,,,11.8,,
"2010",,,,11.23,0,
"2011",,,,10.51,,
"2012",,,,14.28,0.01,
"2013",0,0,,8.84,0,
"2014",0.01,0,,12.44,0,
"2015",0.01,0,,11.25,0,
"2016",0.03,0,,9.07,0,
"2017",0.05,0.02,,8.21,0.01,
"2018",0.07,0.05,,7.58,0.01,
"2019",0.09,0.08,,6.87,0.01,
"2020",0.16,0.12,,6.25,0.01,
"2021",0.3,0.2,,5.77,0.02,
"2022",0.44,0.3,0,6.15,0.05,0
"2023",0.66,0.44,0,5.74,0.05,0
"2024",0.92,0.71,0,5.66,0.07,0
"2025",1.13,0.98,0,5.47,0.08,0
