"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",270,395,308,72
"2021",32,930,415,123
"2022",153,1777,1162,202
"2023",244,3259,2136,279
"2024",360,6390,3235,401
"2025",441,9328,4307,479
"2026",500,11716,5238,827
