"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",7,1004,38
"2021",56,2182,59
"2022",53,2667,148
"2023",26,2689,27
"2024",212,2943,15
"2025",337,3229,14
"2026",320,3065,12
