"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,,,
2009,,,,,,
2010,18,,,,,
2011,64,,,,,
2012,193,,,,3,
2013,280,1,,,3,
2014,560,36,,,10,
2015,1120,135,,,,
2016,1700,416,,,,
2017,2770,739,,,,
2018,4610,1631,,,,
2019,8590,2947,,,,
2020,12720,5659,,,,
2021,21440,17570,,,,
2022,36970,25318,,537,189,
2023,59400,35785,,523,175,
2024,72640,41933,,516,173,
2025,95123,60653,,510,172,
2026,125289,80119,0,509,170,0
