"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",36,164,69,8
"2021",31,302,190,4
"2022",35,473,494,12
"2023",31,863,1720,125
"2024",26,957,2595,785
"2025",20,1109,3061,1164
"2026",12,831,2923,1359
