"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,,,,,,
2012,1,,,,,
2013,6,,,,,
2014,15,3,,,,
2015,23,29,,,,
2016,40,49,,87,,
2017,87,104,,181,,
2018,114,158,,205,,
2019,167,242,,211,,
2020,240,320,,212,,
2021,333,468,,213,,
2022,830,662,,214,,
2023,1449,1175,,214,,
2024,2150,1440,,211,,
2025,3569,2235,,208,,
2026,4494,2626,0,208,0,0
