"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",7,254,32
"2021",8,1016,43
"2022",48,1269,54
"2023",15,1273,58
"2024",18,1699,46
"2025",22,1978,41
"2026",32,2421,32
