"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",92,759,15
"2021",123,644,1
"2022",160,1678,109
"2023",169,2133,53
"2024",186,2573,43
"2025",163,2574,39
"2026",145,2503,57
