"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",274,3809,490
"2021",229,5599,224
"2022",218,8913,206
"2023",285,11669,127
"2024",263,13708,110
"2025",234,15271,115
"2026",152,15539,89
