"Category","Slow DC recharging point (P < 50kW)","Fast DC recharging point (50kW ≤ P < 150kW)","Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW)","Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)"
"2020",54,88,36,21
"2021",2,123,51,21
"2022",8,164,75,26
"2023",5,252,187,26
"2024",33,403,297,53
"2025",50,504,466,94
"2026",55,642,603,166
