"Category","Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)"
"2020",285,5682,907
"2021",701,9427,324
"2022",670,13693,888
"2023",431,14610,188
"2024",674,23373,166
"2025",571,24923,91
"2026",585,26202,78
