"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",243,0,,,,
"2009",145,0,,,,
"2010",380,0,,,,
"2011",2009,1,,,,
"2012",4256,340,,,,
"2013",7875,489,,,,
"2014",17999,1698,,,,
"2015",25551,7857,19,0,,
"2016",23878,20652,23,,5,
"2017",32836,29144,55,,40,
"2018",46111,26539,52,,62,
"2019",60305,19115,29,0,16,
"2020",76734,28825,15,0,5,
"2021",113613,38163,36,0,0,
"2022",138287,16129,27,,,
"2023",103946,10136,2,,1,
"2024",113434,3496,9,,,
"2025",172124,2751,0,,,
"2026",81039,542,0,,,
